role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Guus Schreiber,http://data.semanticweb.org/person/guus-schreiber,,,,,0,VU Amsterdam,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jim Hendler,http://data.semanticweb.org/person/jim-hendler,http://tw.rpi.edu/web/person/JimHendler;http://www.cs.rpi.edu/~hendler,,,b03a8c07c75cce97ff800d07844b75fd3a12f9ae,1,RPI,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Josiane Xavier Parreira,http://data.semanticweb.org/person/josiane-xavier-parreira,,,,a69a534c7a5802053569792e8c769d8981487eb4,1,"DERI, NUI Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jérôme Euzenat,http://data.semanticweb.org/person/jerome-euzenat,http://exmo.inrialpes.fr/~euzenat;http://www.inrialpes.fr/exmo/people/euzenat,,,8347bc1d33e9e27f680aaaffa43de37a27f12991,1,INRIA & LIG,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Evaluation Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Manfred Hauswirth,http://data.semanticweb.org/person/manfred-hauswirth,http://www.manfredhauswirth.org,,,ddb493a8a7c94cb9fc0c6e8d108ce0f62fee6f06,1,"DERI, NUI Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Fellowship Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jennifer Golbeck,http://data.semanticweb.org/person/jennifer-golbeck,,,,,0,University of Maryland,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 General Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,,,,,0,University of Zurich,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Ivan Herman,http://data.semanticweb.org/person/ivan-herman,,,,5ac8032d5f6012aa1775ea2f63e1676bafd5e80b,1,W3C,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Tim Berners-Lee,http://data.semanticweb.org/person/tim-berners-lee,http://www.w3.org/People/Berners-Lee,"A graduate of University of Oxford, Tim Berners-Lee invented the World Wide Web, an internet-based hypermedia initiative for global information sharing while at CERN, the European Particle Physics Laboratory, in 1989. He wrote the first web client and server in 1990. His specifications of URIs, HTTP and HTML were refined as Web technology spread. He is the 3Com Founders Professor of Engineering in the School of Engineering with a joint appointment in the Department of Electrical Engineering and Computer Science at the Laboratory for Computer Science and Artificial Intelligence (CSAIL) at the Massachusetts Institute of Technology (MIT) where he also heads the Decentralized Information Group (DIG). He is also a Professor in the Electronics and Computer Science Department at the University of Southampton, UK. He is the Director of the World Wide Web Consortium (W3C), a Web standards organization founded in 1994 which develops interoperable technologies (specifications, guidelines, software, and tools) to lead the Web to its full potential. He was a Director of the Web Science Trust (WST) launched in 2009 to promote research and education in Web Science, the multidisciplinary study of humanity connected by technology. Tim is a Director of the World Wide Web Foundation, launched in 2009 to coordinate efforts to further the potential of the Web to benefit humanity.",,,0,W3C,1
http://data.semanticweb.org/ns/swc/ontology#Chair,ISWC2012 Industry Chair,http://data.semanticweb.org/conference/iswc/2012,11th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Tom Heath,http://data.semanticweb.org/person/tom-heath,,,,1dd0dab717be578c153b8ed70bee284845439706,1,Talis,1
