event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo
http://data.semanticweb.org/conference/iswc/2003/session-3c/event-02,http://data.semanticweb.org/conference/iswc/2003/session-3c,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Ontology-Based Information Integration in the Automotive Industry,,,,,,,,,,,"Andreas Maier, Hans-Peter Schnurr, York Sure",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-3c/event-03,http://data.semanticweb.org/conference/iswc/2003/session-3c,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Ontology-Based Query and Answering in Chemistry: OntoNova @ Project Halo,,,,,,,,,,,"Jürgen Angele, Eddie Mönch, Henrik Oppermann, Steffen Staab, Dirk Wenke",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-3c/event-04,http://data.semanticweb.org/conference/iswc/2003/session-3c,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,ScadaOnWeb - Web Based Supervisory Control and Data Acquisition,,,,,,,,,,,"Thomas Dreyer, David Leal, Andrea Schröder, Michael Schwan",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-4a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,C-OWL: Contextualizing Ontologies,,,,,,,,,,,"Paolo Bouquet, Fausto Giunchiglia, Frank van Harmelen, Luciano Serafini, Heiner Stuckenschmidt",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-4a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Web Ontology Language Requirements w.r.t Expressiveness of Taxonomy and Axioms in Medicine,,,,,,,,,,,"Christine Golbreich, Olivier Dameron, Bernard Gibaud, Anita Burgun",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-4a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Interoperability on XML Data,,,,,,,,,,,"Laks V. S. Lakshmanan, Fereidoon Sadri",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-4b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,WebScripter: Grass-Roots Ontology Alignment via End-User Report Creation,,,,,,,,,,,"Baoshi Yan, Martin R. Frank, Pedro A. Szekely, Robert Neches, Juan Lopez",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-4b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Magpie - Towards a Semantic Web Browser,,,,,,,,,,,"Martin Dzbor, John Domingue, Enrico Motta",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-4b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-4b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Ontology-Based Resource Matching in the Grid - The Grid Meets the Semantic Web,,,,,,,,,,,"Hongsuda Tangmunarunkit, Stefan Decker, Carl Kesselman",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-5a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Infrastructure for Web Explanations,,,,,,,,,,,"Deborah L. McGuinness, Paulo Pinheiro da Silva",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-5a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"Representing the UMLS Semantic Network Using OWL: (Or ""What's in a Semantic Web Link?"")",,,,,,,,,,,"Vipul Kashyap, Alexander Borgida",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-5a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Viewing the Semantic Web through RVL Lenses,,,,,,,,,,,"Aimilia Magkanaraki, Val Tannen, Vassilis Christophides, Dimitris Plexousakis",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-5b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Surfing the Service Web,,,,,,,,,,,"Sudhir Agarwal, Siegfried Handschuh, Steffen Staab",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-5b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Adapting BPEL4WS for the Semantic Web: The Bottom-Up Approach to Web Service Interoperation,,,,,,,,,,,"Daniel J. Mandell, Sheila A. McIlraith",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-5b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-5b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Request Rewriting-Based Web Service Discovery,,,,,,,,,,,"Boualem Benatallah, Mohand-Said Hacid, Christophe Rey, Farouk Toumani",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-6a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,An Environment for Distributed Ontology Development Based on Dependency Management,,,,,,,,,,,"Eiichi Sunagawa, Kouji Kozaki, Yoshinobu Kitamura, Riichiro Mizoguchi",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-6a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Beyond Ontology Construction; Ontology Services as Online Knowledge Sharing Communities,,,,,,,,,,,"Yang Li, Simon G. Thompson, Zhu Tan, Nick Giles, Hamid Gharib",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-6a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"Semantic Web Languages for Policy Representation and Reasoning: A Comparison of KAoS, Rei, and Ponder",,,,,,,,,,,"Gianluca Tonti, Jeffrey M. Bradshaw, Renia Jeffers, Rebecca Montanari, Niranjan Suri, Andrzej Uszok",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6a/event-04,http://data.semanticweb.org/conference/iswc/2003/session-6a,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,An Agent Framework for Inter-personal Information Sharing with an RDF-Based Repository,,,,,,,,,,,"Koji Kamei, Sen Yoshida, Kazuhiro Kuwabara, Jun-ichi Akahani, Tetsuji Satoh",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-6b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Learning to Attach Semantic Metadata to Web Services,,,,,,,,,,,"Andreas Heß, Nicholas Kushmerick",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-6b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Automating DAML-S Web Services Composition Using SHOP2,,,,,,,,,,,"Dan Wu, Bijan Parsia, Evren Sirin, James A. Hendler, Dana S. Nau",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-6b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Semantic Markup for Semantic Web Tools: A DAML-S Description of an RDF-Store,,,,,,,,,,,"Debbie Richards, Marta Sabou",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-6b/event-04,http://data.semanticweb.org/conference/iswc/2003/session-6b,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,IRS-II: A Framework and Infrastructure for Semantic Web Services,,,,,,,,,,,"Enrico Motta, John Domingue, Liliana Cabral, Mauro Gaspari",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-7a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards a Knowledge-Based Approach to Semantic Service Composition,,,,,,,,,,,"Liming Chen, Nigel Shadbolt, Carole A. Goble, Feng Tao, Simon J. Cox, Colin Puleston, Paul R. Smart",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-7a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Security for DAML Web Services: Annotation and Matchmaking,,,,,,,,,,,"Grit Denker, Lalana Kagal, Timothy W. Finin, Massimo Paolucci, Katia P. Sycara",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-7a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Trust Management for the Semantic Web,,,,,,,,,,,"Matthew Richardson, Rakesh Agrawal, Pedro Domingos",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-7b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Haystack: A Platform for Authoring End User Semantic Web Applications,,,,,,,,,,,"Dennis Quan, David Huynh, David R. Karger",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-7b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Mangrove: Enticing Ordinary People onto the Semantic Web via Instant Gratification,,,,,,,,,,,"Luke McDowell, Oren Etzioni, Steven D. Gribble, Alon Y. Halevy, Henry M. Levy, William Pentney, Deepak Verma, Stani Vlasseva",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-7b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-7b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DAMLJessKB: A Tool for Reasoning with the Semantic Web,,,,,,,,,,,"Joseph Kopena, William C. Regli",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-8a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-8a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Signing RDF Graphs,,,,,,,,,,,Jeremy J. Carroll,,,,,
http://data.semanticweb.org/conference/iswc/2003/session-8a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-8a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Semantic E-Wallet to Reconcile Privacy and Context Awareness,,,,,,,,,,,"Fabien Gandon, Norman M. Sadeh",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-8b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-8b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Benchmarking DAML+OIL Repositories,,,,,,,,,,,"Yuanbo Guo, Jeff Heflin, Zhengxiang Pan",,,,,
http://data.semanticweb.org/conference/iswc/2003/session-8b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-8b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Cooking the Semantic Web with the OWL API,,,,,,,,,,,"Sean Bechhofer, Raphael Volz, Phillip W. Lord",,,,,
http://data.semanticweb.org/conference/iswc/2003,http://data.semanticweb.org/conference/iswc,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,The Second International Semantic Web Conference,2003-10-20T08:00:00,2003-10-23T17:30:00,,America/New_York,,"Sanibel Island, Florida, USA",Tutorial Chair,Asunción Gómez-Pérez,,,,ISWC2003,,http://iswc2003.semanticweb.org/,,http://iswc2003.semanticweb.org/sunset2%20crop%20distort2.gif
http://data.semanticweb.org/conference/iswc/2003,http://data.semanticweb.org/conference/iswc,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,The Second International Semantic Web Conference,2003-10-20T08:00:00,2003-10-23T17:30:00,,America/New_York,,"Sanibel Island, Florida, USA",Registration Chair,Atanas Kiryakov,,,,ISWC2003,,http://iswc2003.semanticweb.org/,,http://iswc2003.semanticweb.org/sunset2%20crop%20distort2.gif
