event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo,category
http://data.semanticweb.org/conference/iswc/2008/panel/owl2far,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#PanelEvent,An OWL 2 Far?,,,PT1H30M,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2008,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,7th International Semantic Web Conference,2008-10-26,2008-10-30,,GMT+1,,,,,,,,,,http://iswc2008.semanticweb.org,,,
http://data.semanticweb.org/workshop/swese/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,4th International Workshop On Semantic Web Enabled Software Engineering,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://www.csd.abdn.ac.uk/swese2008/,,,
http://data.semanticweb.org/workshop/swsc/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,7th Semantic Web Services Challenge Workshop,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://sws-challenge.org/wiki/index.php/Workshop_Karlsruhe,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/sw_intro,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Intro to Semantic Web,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://kmi.open.ac.uk/events/iswc08-semantic-web-intro/,,,
http://data.semanticweb.org/workshop/terra_cognita/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Terra Cognita Workshop,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://asio.bbn.com/terracognita2008/,,,
http://data.semanticweb.org/workshop/om/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Third International Workshop On Ontology Matching,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://om2008.ontologymatching.org/,,,
http://data.semanticweb.org/workshop/ursw/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Workshop On Uncertainty Reasoning For The Semantic Web,2008-10-26T09:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://c4i.gmu.edu/ursw/2008/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/sem_mm,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,"A Semantic Multimedia Web: Create, Annotate, Present and Share your Media",2008-10-26T09:00:00,2008-10-26T12:30:00,,GMT+1,,,,,,,,,,http://homepages.cwi.nl/~media/iswc08/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/fca4sw,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Formal Concept Analysis for the Semantic Web,2008-10-26T09:00:00,2008-10-26T12:30:00,,GMT+1,,,,,,,,,,http://www.aifb.uni-karlsruhe.de/WBS/jvo/fca4sw/,,,
http://data.semanticweb.org/workshop/insemtive/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Incentives For The Semantic Web,2008-10-26T09:00:00,2008-10-26T12:30:00,,GMT+1,,,,,,,,,,http://km.aifb.uni-karlsruhe.de/ws/insemtive2008/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/kr_ke,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Knowledge Representation and Extraction for Business Intelligence,2008-10-26T14:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://www.gate.ac.uk/conferences/iswc08-tutorial/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/rdfa,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,RDFa–Bridging the Web of Documents and the Web of Data,2008-10-26T14:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://semanticweb.joanneum.at/tutorials/iswc08-rdfa,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/modular_owl,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Working Modularly with OWL,2008-10-26T14:00:00,2008-10-26T17:30:00,,GMT+1,,,,,,,,,,http://owl.cs.manchester.ac.uk/2008/iswc-modtut/,,,
http://data.semanticweb.org/workshop/ssws/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,"4th International Workshop on Scalable Semantic Web  
					  Knowledge Base Systems",2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://www.cse.lehigh.edu/~yug2/ssws08/home.htm,,,
http://data.semanticweb.org/workshop/natures/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Nature inspired Reasoning for the Semantic Web,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://webscience.org/events/www2008-ws.html,,,
http://data.semanticweb.org/workshop/obi/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Ontology-supported Business Intelligence,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://gate.ac.uk/conferences/obi08/obi08.htm,,,
http://data.semanticweb.org/workshop/pickme/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Personal Identification and Collaborations: Knowledge Mediation and Extraction,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://expertfinder.info/pickme2008,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/reasoning,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Reasoning for Ontology Engineering and Usage,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://owl.cs.manchester.ac.uk/2008/iswc-tones/,,,
http://data.semanticweb.org/workshop/smr2/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Service Matchmaking and Resource Retrieval in the Semantic Web,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://www-ags.dfki.uni-sb.de/~klusch/smr2-08/,,,
http://data.semanticweb.org/workshop/sdow/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Social Data on the Web,2008-10-27T09:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://sdow2008.semanticweb.org/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/linked_data,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,How to Publish Linked Data on the Web,2008-10-27T09:00:00,2008-10-27T12:30:00,,GMT+1,,,,,,,,,,http://events.linkeddata.org/iswc2008tutorial/,,,
http://data.semanticweb.org/workshop/iwod/2008,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,International Workshop on Ontology Dynamics,2008-10-27T09:00:00,2008-10-27T12:30:00,,GMT+1,,,,,,,,,,http://www.csd.abdn.ac.uk/iwod2008/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/rswa,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Realizing a Semantic Web Application,2008-10-27T09:00:00,2008-10-27T12:30:00,,GMT+1,,,,,,,,,,http://swa.cefriel.it/Teaching/RSWA2008,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/open_cyc,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Free Semantic Content: Using OpenCyc in Semantic Web Applications,2008-10-27T14:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://iswc2008.semanticweb.org/tutorials/free-semantic-content-using-opencyc-in-semantic-web-applications/,,,
http://data.semanticweb.org/conference/iswc/2008/tutorial/hclsig,http://data.semanticweb.org/conference/iswc/2008,,http://data.semanticweb.org/ns/swc/ontology#TutorialEvent,Semantic Web for Health Care and Life Sciences,2008-10-27T14:00:00,2008-10-27T17:30:00,,GMT+1,,,,,,,,,,http://esw.w3.org/topic/HCLS/ISWC2008/Tutorial,,,
