name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
Aba-Sah Dadzie,http://data.semanticweb.org/person/aba-sah-dadzie,http://data.semanticweb.org/conference/iswc/2011,,0,1,,,,,0,The University of Sheffield,The University of Sheffield; University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Abelardo Pardo,http://data.semanticweb.org/person/abelardo-pardo,http://data.semanticweb.org/conference/iswc/2011,,0,1,http://www.it.uc3m.es/abel,,,,0,Carlos III University of Madrid,Carlos III University of Madrid,http://data.semanticweb.org/organization/carlos-iii-university-of-madrid,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2011,Doctoral Consortium Chair at ISWC 2011; ISWC2011 Session Chair,2,0,http://www.ifi.unizh.ch/ddis/people/bernstein/,,,,0,University of Zurich,University of Zurich; Universität Zürich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2011,PC Member at ISWC2011 (Research Track); ISWC2011 Session Chair,2,1,,,,,0,IBM Research Laboratory,IBM Research Laboratory; IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Adila Alfa Krisnadhi,http://data.semanticweb.org/person/adila-alfa-krisnadhi,http://data.semanticweb.org/conference/iswc/2011,,0,1,http://knoesis.wright.edu/researchers/adila/,,,,0,,,,0
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2011,ISWC2011 Session Chair; Senior PC Member at ISWC2011 (Research Track),2,2,https://researcher.ibm.com/researcher/view.php?person=us-adityakal,,,,0,"IBM T.J. Watson Research, Deep QA – Algorithms Team","IBM T.J. Watson Research, Deep QA – Algorithms Team; IBM Research Laboratory; IBM Research",http://data.semanticweb.org/organization/ibm-t-j-watson-research-deep-qa-algorithms-team; http://data.semanticweb.org/organization/ibm-research,2
Adrian Paschke,http://data.semanticweb.org/person/adrian-paschke,http://data.semanticweb.org/conference/iswc/2011,PC Member at ISWC2011 (Industry Track),1,0,http://www.corporate-semantic-web.de,,,,0,Free University of Berlin,Free University of Berlin; Freie Universität Berlin; Free University Berlin,http://data.semanticweb.org/organization/freie-universitaet-berlin,1
Agnieszka Lawrynowicz,http://data.semanticweb.org/person/agnieszka-lawrynowicz,http://data.semanticweb.org/conference/iswc/2011,,0,1,http://www.cs.put.poznan.pl/alawrynowicz,,,,0,Poznan University of Technology,Poznan University of Technology,http://data.semanticweb.org/organization/poznan-university-of-technology,1
Ahmed Elsayed Mostafa,http://data.semanticweb.org/person/ahmed-elsayed-mostafa,http://data.semanticweb.org/conference/iswc/2011,,0,2,http://www.linkedin.com/in/ahmedsmostafa,,,,0,University of Fribourg,University of Fribourg,http://data.semanticweb.org/organization/university-of-fribourg,1
Aidan Boran,http://data.semanticweb.org/person/aidan-boran,http://data.semanticweb.org/conference/iswc/2011,PC Member at ISWC2011 (Research Track),1,0,,,,,0,Alcatel-Lucent,Alcatel-Lucent; Alcatel Lucent Bell Labs,http://data.semanticweb.org/organization/alcatel-lucent-bell-labs,1
