name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
A. Goy,http://data.semanticweb.org/person/a-goy,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
A. Schroder,http://data.semanticweb.org/person/a-schroder,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Adil Hameed,http://data.semanticweb.org/person/adil-hameed,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Aimilia Magkanaraki,http://data.semanticweb.org/person/aimilia-magkanaraki,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Akira Sato,http://data.semanticweb.org/person/akira-sato,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alan Rector,http://data.semanticweb.org/person/alan-rector,http://data.semanticweb.org/conference/iswc/2002,Reviewer,1,0,,,,,0,,,,0
Alberto Reggiori,http://data.semanticweb.org/person/alberto-reggiori,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alberto Verdejo,http://data.semanticweb.org/person/alberto-verdejo,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alessandro Soro,http://data.semanticweb.org/person/alessandro-soro,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alexander Felfernig,http://data.semanticweb.org/person/alexander-felfernig,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alexander Maedche,http://data.semanticweb.org/person/alexander-maedche,http://data.semanticweb.org/conference/iswc/2002,Tutorial Organizer,1,2,,,,,0,,,,0
Alexander Wahler,http://data.semanticweb.org/person/alexander-wahler,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alexiei Dingli,http://data.semanticweb.org/person/alexiei-dingli,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alon Halevy,http://data.semanticweb.org/person/alon-halevy,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Alun Preece,http://data.semanticweb.org/person/alun-preece,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Amedeo Napoli,http://data.semanticweb.org/person/amedeo-napoli,http://data.semanticweb.org/conference/iswc/2002,PC Member,1,0,,,,,0,LORIA,LORIA,http://data.semanticweb.org/organization/loria,1
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2002,PC Member,1,0,,,,,0,University of Georgia,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Amy Loomis,http://data.semanticweb.org/person/amy-loomis,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Andrea Calì,http://data.semanticweb.org/person/andrea-cali,http://data.semanticweb.org/conference/iswc/2002,Reviewer,1,0,,,,,0,,,,0
Andreas Eberhart,http://data.semanticweb.org/person/andreas-eberhart,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Andreas Hotho,http://data.semanticweb.org/person/andreas-hotho,http://data.semanticweb.org/conference/iswc/2002,Reviewer,1,1,,,,,0,,,,0
Andy Seaborne,http://data.semanticweb.org/person/andy-seaborne,http://data.semanticweb.org/conference/iswc/2002,Tutorial Organizer,1,2,,,,,0,,,,0
Anjo Anjewierden,http://data.semanticweb.org/person/anjo-anjewierden,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Antoine Isaac,http://data.semanticweb.org/person/antoine-isaac,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Anupriya Ankolekar,http://data.semanticweb.org/person/anupriya-ankolekar,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Arjohn Kampman,http://data.semanticweb.org/person/arjohn-kampman,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Arnaud Sahuguet,http://data.semanticweb.org/person/arnaud-sahuguet,http://data.semanticweb.org/conference/iswc/2002,Reviewer,1,0,,,,,0,,,,0
Asunción Gómez-Pérez,http://data.semanticweb.org/person/asuncion-gomez-perez,http://data.semanticweb.org/conference/iswc/2002,PC Member; Tutorial Chair,2,1,,,,f929b4dab306ec656affc5136763b6fe14c2347e,1,Technical University of Madrid,Technical University of Madrid,http://data.semanticweb.org/organization/technical-university-of-madrid,1
Atanas Kiryakov,http://data.semanticweb.org/person/atanas-kiryakov,http://data.semanticweb.org/conference/iswc/2002,,0,2,,,,,0,,,,0
B. M. Matthews,http://data.semanticweb.org/person/b-m-matthews,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Barbara Kieslinger,http://data.semanticweb.org/person/barbara-kieslinger,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
Barbara Pes,http://data.semanticweb.org/person/barbara-pes,http://data.semanticweb.org/conference/iswc/2002,,0,1,,,,,0,,,,0
