name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
Abdelmounaam Rezgui,http://data.semanticweb.org/person/abdelmounaam-rezgui,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,6542641188056f743c22ee0fdfacb420a2b9e307,1,Virginia Tech,Virginia Tech,http://data.semanticweb.org/organization/virginia-tech,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2008,,0,2,,,,8704ad77580618cb845036d3a15626d30fd828c3,1,University of Zurich,"University of Zurich; Department of Informatics, University of Zurich; Univ Zürich",http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,42e105e76a4873077b7c63e06d51946a89f0eafd,1,IBM Research Laboratory,IBM Research Laboratory; IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Adam Funk,http://data.semanticweb.org/person/adam-funk,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,5d568aebe8cfe9c281b8bc4b9ae5b2d53c3dfe75,1,University Of Sheffield,University Of Sheffield; The University of Sheffield; University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,b1fe362f3eabc1dac5c9829fb53fd2de0d556f5b,1,IBM TJ Watson Research Center,IBM TJ Watson Research Center; IBM T. J. Watson Research Center; IBM T.J. Watson Research Center,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Adrian Mocan,http://data.semanticweb.org/person/adrian-mocan,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,bfee0d8ccefccc90080121419de00a7ee18824ef,1,Semantic Technology Institute Innsbruck,Semantic Technology Institute Innsbruck; STI Innsbruck,http://data.semanticweb.org/organization/deri-universitaet-innsbruck,1
Ahmad Iqbal,http://data.semanticweb.org/person/ahmad-iqbal,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,19772055ed41bc7cc69398ddf428149c731d21b4,1,University of New South Wales,"University of New South Wales; National ICT Australia; DERI, National University of Ireland, Galway; Digital Enterprise Research Institute, Galway; DERI, NUIG; Digital Enterprise Research Institute (DERI), National University of Ireland, Galway; DERI NUIG; DERI Galway; Digital Enterprise Research Institute (DERI), Galway",http://data.semanticweb.org/organization/university-of-new-south-wales; http://data.semanticweb.org/organization/national-ict-australia; http://data.semanticweb.org/organization/deri-nui-galway,3
Ajay Chakravarthy,http://data.semanticweb.org/person/ajay-chakravarthy,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,204504dfc58a7935a5d945d767867d5025543d2f,1,University Of Sheffield,University Of Sheffield; The University of Sheffield; University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
AK Sinha,http://data.semanticweb.org/person/ak-sinha,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,75753862369a787f4a8ed6d512c84e10c126bc3d,1,Virginia Tech,Virginia Tech,http://data.semanticweb.org/organization/virginia-tech,1
Akimichi Tanaka,http://data.semanticweb.org/person/akimichi-tanaka,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,2dc6b957be5c82ef7bf0532a0429e8da60f62fac,1,"NTT Cyber Solutions Laboratories, NTT Corporation","NTT Cyber Solutions Laboratories, NTT Corporation",http://data.semanticweb.org/organization/ntt-cyber-solutions-laboratories-ntt-corporation,1
Alan Rector,http://data.semanticweb.org/person/alan-rector,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,b4c3594530b2a7d19366535aa05b2298a49b66ea,1,University of Manchester,University of Manchester; The University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Alberto Salvati,http://data.semanticweb.org/person/alberto-salvati,http://data.semanticweb.org/conference/iswc/2008,,0,1,,,,6f5c4ac98c6ad3a78f3a9554a448366c0aabc8fb,1,"Semantic TechnoIogy Lab, CNR","Semantic TechnoIogy Lab, CNR; CNR; Semantic TechnoIogy Lab. ISTC-CNR; CNR-ISTC",http://data.semanticweb.org/organization/cnr-istc-italy,1
