name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Abir Qasem,http://data.semanticweb.org/person/abir-qasem,http://data.semanticweb.org/conference/iswc/2005,Reviewer at ISWC2005 (Research Track),1,,,,,0,Lehigh University,http://data.semanticweb.org/organization/lehigh-university,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Research Track);Workshop Chair,2,,,,,0,University of Zurich,http://data.semanticweb.org/organization/university-of-zurich,1
Adam Lee,http://data.semanticweb.org/person/adam-lee,http://data.semanticweb.org/conference/iswc/2005,Reviewer at ISWC2005 (Research Track),0,,,,,0,University of Illinois at Urbana–Champaign,http://data.semanticweb.org/organization/university-of-illinois-at-urbanachampaign,1
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2005,,3,,,,,0,"University of Maryland, College Park",http://data.semanticweb.org/organization/university-of-maryland-college-park,1
Adrian Brooks,http://data.semanticweb.org/person/adrian-brooks,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Aida Jertila,http://data.semanticweb.org/person/aida-jertila,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Akihiko Ohsuga,http://data.semanticweb.org/person/akihiko-ohsuga,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alain Giboin,http://data.semanticweb.org/person/alain-giboin,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alain Leger,http://data.semanticweb.org/person/alain-leger,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Industrial Track);Workshop Chair;Chair,1,,,,b7fa3f5910f534d9de3f9b9b8396af685eaf44e7,1,France Télécom,http://data.semanticweb.org/organization/france-telecom,1
Alan L. Rector,http://data.semanticweb.org/person/alan-l-rector,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alan Rector,http://data.semanticweb.org/person/alan-rector,http://data.semanticweb.org/conference/iswc/2005,Tutorial Organizer,0,,,,,0,,,0
Alan Smeaton,http://data.semanticweb.org/person/alan-smeaton,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alasdair Mangham,http://data.semanticweb.org/person/alasdair-mangham,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Industrial Track),0,,,,,0,London Borough of Camden,http://data.semanticweb.org/organization/london-borough-of-camden,1
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Research Track);Workshop Chair,1,,,,2c3eee87289805e627c6886f6c1420e39021f49b,1,National Research Council;LOA-CNR,http://data.semanticweb.org/organization/national-research-council;http://data.semanticweb.org/organization/loa-cnr,2
Alessio Gugliotta,http://data.semanticweb.org/person/alessio-gugliotta,http://data.semanticweb.org/conference/iswc/2005,Student at ISWC2005 (Doctoral Consortium),1,,,,,0,University of Udine,http://data.semanticweb.org/organization/university-of-udine,1
Alex Sinner,http://data.semanticweb.org/person/alex-sinner,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alexander Borgida,http://data.semanticweb.org/person/alexander-borgida,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alexander Löser,http://data.semanticweb.org/person/alexander-loeser,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alexander Morgan,http://data.semanticweb.org/person/alexander-morgan,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Industrial Track),0,,,,,0,General Motors,http://data.semanticweb.org/organization/general-motors,1
Alexander Schutz,http://data.semanticweb.org/person/alexander-schutz,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alfred Kobsa,http://data.semanticweb.org/person/alfred-kobsa,http://data.semanticweb.org/conference/iswc/2005,PC Member at ISWC2005 (Research Track),0,,,,,0,"University of California, Irvine",http://data.semanticweb.org/organization/university-of-california-irvine,1
Alfred Spector,http://data.semanticweb.org/person/alfred-spector,http://data.semanticweb.org/conference/iswc/2005,Speaker,0,,,,,0,IBM,http://data.semanticweb.org/organization/ibm,1
Alfred Z. Spector,http://data.semanticweb.org/person/alfred-z-spector,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alfredo Morales,http://data.semanticweb.org/person/alfredo-morales,http://data.semanticweb.org/conference/iswc/2005,,1,,,,,0,,,0
Alice Carpentier,http://data.semanticweb.org/person/alice-carpentier,http://data.semanticweb.org/conference/iswc/2005,Local Organising Committee member,0,,,,,0,"DERI, Galway",http://data.semanticweb.org/organization/deri-galway,1
