role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Christian Jacquemin,http://data.semanticweb.org/person/christian-jacquemin,,1,,,,a3169e0816bc72c44c5ab042fa16d53ed32e7ee0,1,LIMSI-CNRS,1
,,,,,Christian Kuschel,http://data.semanticweb.org/person/christian-kuschel,,1,,,,f3d087c569678ffd6e5be9866e29c73041533bcd,1,"Georg-Simon-Ohm Hochschule, Nuremberg",1
,,,,,Christian Wartena,http://data.semanticweb.org/person/christian-wartena,,1,,,,cfdecf5859c5225410ed2772b5249d6516be47b1,1,Telematica Instituut,1
,,,,,Christoph Bussler,http://data.semanticweb.org/person/christoph-bussler,,0,,,,c3851852e12dae64e1e8a8780319333544355f26,1,"BEA Systems, Inc.",1
,,,,,Christoph Pinkel,http://data.semanticweb.org/person/christoph-pinkel,,1,,,,dffe30f8065b8b325091b03452b566965c781a6b,1,MTC Infomedia OHG,1
,,,,,Christophe Guéret,http://data.semanticweb.org/person/christophe-gueret,,1,,,,b35d03b79165699b8aee26174245017a2624d29a,1,VU Amsterdam;UVA;Vrije Universiteit Amsterdam;VU University Amsterdam;Vrije University Amsterdam,1
,,,,,Christopher Matheus,http://data.semanticweb.org/person/christopher-matheus,,0,,,,f44e8167fcef12c98130c447178183516258060b,1,"Versatile Information Systems, Inc.",1
,,,,,Ciro Cattuto,http://data.semanticweb.org/person/ciro-cattuto,,1,,,,c94ca9310ec8695fd5f6e1c6719919b3c7560dbf,1,"Complex Networks Lagrange Laboratory (CNLL), ISI Foundation",1
,,,,,Claudia d'Amato,http://data.semanticweb.org/person/claudia-damato,,1,,,,5bcefa24904ebb8f0666b2b8b03fe3c89dac04f7,1,"Computer Science Department - University of Bari;Dipartimento di Informatica - Università degli Studi di Bari;Dipartimento di Informatica, Università di Bari",1
,,,,,Claudio Gutierrez,http://data.semanticweb.org/person/claudio-gutierrez,,2,,,,f341588c8c974d3b6fa4134e12700da871e8704f,1,Universidad de Chile,1
,,,,,Clement Jonquet,http://data.semanticweb.org/person/clement-jonquet,,1,,,,b6b6a2c7e586632f2d654f537f6ab32af4d763ee,1,Stanford University;Stanford University - BMIR,1
,,,,,Cliff Joslyn,http://data.semanticweb.org/person/cliff-joslyn,,1,,,,a2316407ccea4185d152a734fd9fdfc39fee5bb0,1,Pacific Northwest National Laboratory,1
,,,,,Colin Puleston,http://data.semanticweb.org/person/colin-puleston,,1,,,,fe88afe88814a8212994bf2329ebcf79815a4110,1,University of Manchester;The University of Manchester,1
,,,,,Colm Conroy,http://data.semanticweb.org/person/colm-conroy,,1,,,,74ad5b98b8dd36170e6ab1baee2faea0fda2dbd9,1,Trinity College Dublin,1
,,,,,Conny Christl,http://data.semanticweb.org/person/conny-christl,,1,,,,69eea97c5cc0ab14ebf1231386aea61591c95d33,1,ISN,1
,,,,,Conor Hayes,http://data.semanticweb.org/person/conor-hayes,,0,,,,e3e11c1ce25fbaccc08ed9085e4ccd882a79a8f1,1,"DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, Galway;DERI, NUIG;Digital Enterprise Research Institute (DERI), National University of Ireland, Galway;DERI NUIG;DERI Galway;Digital Enterprise Research Institute (DERI), Galway",1
,,,,,Craig Knoblock,http://data.semanticweb.org/person/craig-knoblock,,0,,,,2c2715555efac793759255fe12d117541cf52a37,1,"Information Sciences Institute, University of Southern California",1
