name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
(A person from J.D. Edwards),http://data.semanticweb.org/person/a-person-from-jd-edwards,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,JD Edwards,http://data.semanticweb.org/organization/jd-edwards,1
A. Th. Schreiber,http://data.semanticweb.org/person/a-th-schreiber,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,University of Amsterdam,http://data.semanticweb.org/organization/university-of-amsterdam,1
Aaron Swartz,http://data.semanticweb.org/person/aaron-swartz,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,,,0
Abir Qasem,http://data.semanticweb.org/person/abir-qasem,http://data.semanticweb.org/conference/iswc/2001,Participant,1,,,,,0,Embry–Riddle Aeronautical University,http://data.semanticweb.org/organization/embryriddle-aeronautical-university,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2001,Participant,1,,,,,0,New York University,http://data.semanticweb.org/organization/new-york-university,1
Ada Hungerford,http://data.semanticweb.org/person/ada-hungerford,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,NIH,http://data.semanticweb.org/organization/nih,1
Al Jones,http://data.semanticweb.org/person/al-jones,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,NIST,http://data.semanticweb.org/organization/nist,1
Alan Bush,http://data.semanticweb.org/person/alan-bush,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,,,0
Alexander Maedche,http://data.semanticweb.org/person/alexander-maedche,http://data.semanticweb.org/conference/iswc/2001,Participant,2,,,,,0,FZI Forschungszentrum_Informatik,http://data.semanticweb.org/organization/fzi-forschungszentruminformatik,1
Alexandre Delteil,http://data.semanticweb.org/person/alexandre-delteil,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,INRIA,http://data.semanticweb.org/organization/inria,1
Ambjörn Naeve,http://data.semanticweb.org/person/ambjoern-naeve,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,Royal Institute of Technology,http://data.semanticweb.org/organization/royal-institute-of-technology,1
Amedeo Napoli,http://data.semanticweb.org/person/amedeo-napoli,http://data.semanticweb.org/conference/iswc/2001,PC Member,0,,,,820eee54cdfb4b1134dba7a3ba6d9089929ff206,1,"LORIA, University of Nancy",http://data.semanticweb.org/organization/loria-university-of-nancy,1
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2001,PC Member,1,,,,9c1dfd993ad7d1852e80ef8c87fac30e10776c0c;06fa95eb5dab0af9ce289e56d71b8c809f9ce364,2,Taalee Inc;University of Georgia,http://data.semanticweb.org/organization/taalee-inc;http://data.semanticweb.org/organization/university-of-georgia,2
Anca Mosoiu,http://data.semanticweb.org/person/anca-mosoiu,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,Razorfish,http://data.semanticweb.org/organization/razorfish,1
Andreas Eberhart,http://data.semanticweb.org/person/andreas-eberhart,http://data.semanticweb.org/conference/iswc/2001,Participant,1,,,,,0,International University in Germany,http://data.semanticweb.org/organization/international-university-in-germany,1
Andreas Harth,http://data.semanticweb.org/person/andreas-harth,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,University of Würzburg,http://data.semanticweb.org/organization/university-of-wuerzburg,1
Anita Tyler,http://data.semanticweb.org/person/anita-tyler,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,Hawthorn technology,http://data.semanticweb.org/organization/hawthorn-technology,1
Annemarie Feely,http://data.semanticweb.org/person/annemarie-feely,http://data.semanticweb.org/conference/iswc/2001,Organization Staff,0,,,,,0,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Antonio Sanfilippo,http://data.semanticweb.org/person/antonio-sanfilippo,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,Lingomotors,http://data.semanticweb.org/organization/lingomotors,1
Anupam Joshi,http://data.semanticweb.org/person/anupam-joshi,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,"University of Maryland, Baltimore County",http://data.semanticweb.org/organization/university-of-maryland-baltimore-county,1
Anupriya Ankolekar,http://data.semanticweb.org/person/anupriya-ankolekar,http://data.semanticweb.org/conference/iswc/2001,,1,,,,,0,CMU,http://data.semanticweb.org/organization/cmu,1
Anurag Kumar Gupta,http://data.semanticweb.org/person/anurag-kumar-gupta,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,Motorola,http://data.semanticweb.org/organization/motorola,1
Arthur Thomas,http://data.semanticweb.org/person/arthur-thomas,http://data.semanticweb.org/conference/iswc/2001,Participant,0,,,,,0,,,0
Arturo Crespo,http://data.semanticweb.org/person/arturo-crespo,http://data.semanticweb.org/conference/iswc/2001,Organization Staff,0,,,,,0,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Aseem Das,http://data.semanticweb.org/person/aseem-das,http://data.semanticweb.org/conference/iswc/2001,Participant;Speaker,1,,,,,0,VerticalNet,http://data.semanticweb.org/organization/verticalnet,1
Asunciòn Gomez-Perez,http://data.semanticweb.org/person/asuncion-gomez-perez,http://data.semanticweb.org/conference/iswc/2001,PC Member,1,,,,f929b4dab306ec656affc5136763b6fe14c2347e,1,Technical University of Madrid,http://data.semanticweb.org/organization/technical-university-of-madrid,1
Atanas Kiryakov,http://data.semanticweb.org/person/atanas-kiryakov,http://data.semanticweb.org/conference/iswc/2001,Participant,1,,,,,0,"OntoText Lab., Sirma AI EOOD",http://data.semanticweb.org/organization/ontotext-lab-sirma-ai-eood,1
