event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Semantic Web Challenge Chair at ISWC2011,"Diana Maynard,Christian Bizer ",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Proceedings Chair at ISWC2011,Eva Blomqvist,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Semantic Web in Use Chair at ISWC2011,"Jamie Taylor,Harith Alani",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Fellowship Chair at ISWC2011,Jen Golbeck,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Publicity Chair at ISWC2011,"Juan Sequeda,Juan F. Sequeda",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Doctoral Consortium Chair at ISWC 2011,"Lalana Kagal,Abraham Bernstein",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Metadata Chair at ISWC2011,Lin Clark,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Program Chair at ISWC2011,"Lora Aroyo,Christopher Welty,Chris Welty",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Industry Chair at ISWC2011,Marco Neumann,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Sponsorship Chair as ISWC2011,"Mark Greaves,Elena Simperl",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Poster and Demos Chair at ISWC2011,"Marta Sabou,Guilin Qi,Guilin  Qi",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,General Chair at ISWC2011,Natasha Noy,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Local Organization at ISWC2011,Ruth Ehrenstein,,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Tutorial Chair as ISWC2011,"Tania Tudorache,Heiner Stuckenschmidt",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,10th International Semantic Web Conference,,,,,,,Local Chair at ISWC2011,"York Sure-Vetter,Steffen Staab",,,,,,http://iswc2011.semanticweb.org/,,
http://data.semanticweb.org/conference/iswc/2011/tracks/doctoral-consortium,http://data.semanticweb.org/conference/iswc/2011,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,ISWC2011 Doctoral Consortium,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/tracks/industry,http://data.semanticweb.org/conference/iswc/2011,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,ISWC2011 Industry Track,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/tracks/research,http://data.semanticweb.org/conference/iswc/2011,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,ISWC2011 Research Track,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/tracks/semantic-web-in-use,http://data.semanticweb.org/conference/iswc/2011,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,ISWC2011 Semantic Web In Use Track,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/18,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Automatically transforming keyword queries to SPARQL on large-scale knowledge bases,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/5,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Knowledge Based Access Control Policy Specification and Enforcement,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/2,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Towards a Framework for Efficient Query Answering and Integration of Geospatial Data,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/19,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Automation of Service lifecycle on the Cloud by using Semantic technologies,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/32,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Online Analytical Processing of Statistical Linked Data,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/20,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Ontology Learning from Noisy Linked Data,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/4,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Capturing Knowledge Evolution and Expertise in Community-driven Knowledge Curation Platforms,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/6,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Decision Support Methods in Community-driven Knowledge Curation Platforms,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/8,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Evaluating Trustworthiness of Web Content using Semantic Web Technologies,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/14,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Graphical Models and Probabilistic Reasoning for Generating Linked Data from Tables,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/12,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Model for News Filtering with Named Entities,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/16,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"DC Proposal: PRISSMA, Towards Mobile Adaptive Presentation of the Web of Data",,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/30,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Towards Linked Data Assessment and Linking Temporal Facts,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/doctoral-consortium/26,http://data.semanticweb.org/conference/iswc/2011/sessions/doctoral-consortium/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DC Proposal: Towards an ODP Quality Model,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/16,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A common metadata approach to support eGovernment interoperability,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/11,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Everything Self‐Service: Linked Data Applications with the Information Workbench,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/15,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,F# Type Providers – Unleashing the Semantic Web with Programming Languages,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/13,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Practical applications of Semantic Wikis in commercial environments,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/14,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Softplant Living Semantic Platform,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/17,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Why Semantics Makes Sense for News Agencies,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2011/talks/industry/6,http://data.semanticweb.org/conference/iswc/2011/sessions/industry/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Automated Generation of Semantic Service Descriptions by Leveraging on Service Governance Models,,,,,,,,,,,,,,,,
