name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Elisa F. Kendall,http://data.semanticweb.org/person/elisa-f-kendall,http://data.semanticweb.org/conference/iswc/2006,,1,,,,aec71169eb463ea4198b95d37570672610e70e89,1,,,0
Emanuele Della Valle,http://data.semanticweb.org/person/emanuele-della-valle,http://data.semanticweb.org/conference/iswc/2006,,1,,,,0a719d7e8fca928d4bac059a82744adc41ee843e,1,CEFRIEL,http://data.semanticweb.org/organization/cefriel,1
Emilia Cimpian,http://data.semanticweb.org/person/emilia-cimpian,http://data.semanticweb.org/conference/iswc/2006,,1,,,,2d04742a06c82751a68ef8a7588f876ef0cadfc0,1,Universität Innsbruck,http://data.semanticweb.org/organization/deri-universitaet-innsbruck,1
Emmanuel Pietriga,http://data.semanticweb.org/person/emmanuel-pietriga,http://data.semanticweb.org/conference/iswc/2006,,1,,,,9f1c3d906a2f41f3ff5b7a566e385aa4fe7d704a,1,INRIA,http://data.semanticweb.org/organization/inria-rhone-alpes,1
Enrico Motta,http://data.semanticweb.org/person/enrico-motta,http://data.semanticweb.org/conference/iswc/2006,,1,,,,28a0f82609671f47d811e6bee865afb23abfb8db,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Erietta Liarou,http://data.semanticweb.org/person/erietta-liarou,http://data.semanticweb.org/conference/iswc/2006,,1,,,,c1e74738f2d862c6694a661d60600290fa4835d8,1,Technical University of Crete,http://data.semanticweb.org/organization/technical-university-of-crete,1
Esther Kaufmann,http://data.semanticweb.org/person/esther-kaufmann,http://data.semanticweb.org/conference/iswc/2006,,1,,,,2c2dac7114dda90584b0c463d2b8d43e18fb7571,1,Universität Zürich,http://data.semanticweb.org/organization/university-of-zurich,1
Evan K. Wallace,http://data.semanticweb.org/person/evan-k-wallace,http://data.semanticweb.org/conference/iswc/2006,,1,,,,25b33804a3c0c5c57c441f18f9cce41b49e2a539,1,US National Institute of Standards and Technology,http://data.semanticweb.org/organization/us-national-institute-of-standards-and-technology,1
Eyal Oren,http://data.semanticweb.org/person/eyal-oren,http://data.semanticweb.org/conference/iswc/2006,,1,,,,097f2342afa52f155f127042cc7a20c9491cf382,1,"National University of Ireland, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Federico Michele Facca,http://data.semanticweb.org/person/federico-michele-facca,http://data.semanticweb.org/conference/iswc/2006,,1,,,,82a2db6de714f8ee7339dce49e1333baad0ffb81,1,Politecnico di Milano,http://data.semanticweb.org/organization/politecnico-di-milano,1
Freddy Lecue,http://data.semanticweb.org/person/freddy-lecue,http://data.semanticweb.org/conference/iswc/2006,,1,,,,366d9febb41f56231bd81be7d18ff20c25a7c9ac,1,,,0
Guo Tong Xie,http://data.semanticweb.org/person/guotong-xie,http://data.semanticweb.org/conference/iswc/2006,,1,,,,,0,IBM China Research,http://data.semanticweb.org/organization/ibm-china-research-laboratory,1
Guus Schreiber,http://data.semanticweb.org/person/guus-schreiber,http://data.semanticweb.org/conference/iswc/2006,,1,,,,ddaa983ca5d101642d761f81ec885e9c2bd0a093,1,Vrije Universiteit Amsterdam,http://data.semanticweb.org/organization/vrije-universiteit-amsterdam-the-netherlands,1
Hamish Cunningham,http://data.semanticweb.org/person/hamish-cunningham,http://data.semanticweb.org/conference/iswc/2006,,1,,,,fb5cf1828c9604d218e22ab06b11c02cf69eb4f2,1,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Hap Kolb,http://data.semanticweb.org/person/hap-kolb,http://data.semanticweb.org/conference/iswc/2006,,1,,,,6ea3ac511848ffae7aa7386a79a7caead1adaee9,1,TNO Science and Industry Delft,http://data.semanticweb.org/organization/tno-science-industry,1
Harith Alani,http://data.semanticweb.org/person/harith-alani,http://data.semanticweb.org/conference/iswc/2006,,1,,,,1acd77b24d79af12e367206f99bf7284daeccde6,1,University of Southampton,http://data.semanticweb.org/organization/university-of-southampton,1
Ian Horrocks,http://data.semanticweb.org/person/ian-horrocks,http://data.semanticweb.org/conference/iswc/2006,,2,,,,0dfde0275a9cae0de57c25d97ee14fbca31359dd,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Irene Celino,http://data.semanticweb.org/person/irene-celino,http://data.semanticweb.org/conference/iswc/2006,,1,,,,0cd1a21a281a98a9df3da47aa967cf493c1f3cb2,1,CEFRIEL,http://data.semanticweb.org/organization/cefriel,1
Isabel Cruz,http://data.semanticweb.org/person/isabel-cruz,http://data.semanticweb.org/conference/iswc/2006,,0,,,,450162ac52a51c1ed888fa843c004bbc77d8e757,1,University of Illinois at Chicago,http://data.semanticweb.org/organization/university-of-illinois-at-chicago,1
J. William Murdock,http://data.semanticweb.org/person/j-william-murdock,http://data.semanticweb.org/conference/iswc/2006,,1,,,,0a521904c528325a3e437cc7f32999eca5e27c01,1,IBM Watson Research,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Jacco van Ossenbruggen,http://data.semanticweb.org/person/jacco-van-ossenbruggen,http://data.semanticweb.org/conference/iswc/2006,,1,,,,886930302fdb0f9a861afbffe04829dcf23d84b0,1,,,0
Jim Hendler,http://data.semanticweb.org/person/james-hendler,http://data.semanticweb.org/conference/iswc/2006,,1,,,,be972c7a602683f7cf3c7a1fd0949c565debe4d3,1,University of Maryland,http://data.semanticweb.org/organization/university-of-maryland,1
Jane Hunter,http://data.semanticweb.org/person/jane-hunter,http://data.semanticweb.org/conference/iswc/2006,,1,,,,c37d6749670bdf835b98a68ba16cf9dfcaa3b7c5,1,The University of Queensland,http://data.semanticweb.org/organization/the-university-of-queensland,1
Jeff Pan,http://data.semanticweb.org/person/jeff-z-pan,http://data.semanticweb.org/conference/iswc/2006,,2,,,,24b23425121f196eb8f9826538eac262f57cf66d,1,University of Aberdeen,http://data.semanticweb.org/organization/university-of-aberdeen,1
Jeff Z. Pan,http://data.semanticweb.org/person/jeff-z-pan,http://data.semanticweb.org/conference/iswc/2006,,2,,,,24b23425121f196eb8f9826538eac262f57cf66d,1,University of Aberdeen,http://data.semanticweb.org/organization/university-of-aberdeen,1
Jérôme Euzenat,http://data.semanticweb.org/person/jerome-euzenat,http://data.semanticweb.org/conference/iswc/2006,,2,,,,9a5ee047a26b4e42a17b2f544444c0c0acea69fa,1,INRIA,http://data.semanticweb.org/organization/inria-rhone-alpes,1
Jie Bao,http://data.semanticweb.org/person/jie-bao,http://data.semanticweb.org/conference/iswc/2006,,1,,,,271fe976587e20322913b6507d9b5184a54d739f,1,Iowa State University,http://data.semanticweb.org/organization/iowa-state-university,1
Jie Tang,http://data.semanticweb.org/person/jie-tang,http://data.semanticweb.org/conference/iswc/2006,,1,,,,8cace486ea726aa9d46f59c493270e82a4510646,1,Tsinghua University,http://data.semanticweb.org/organization/tsinghua-university,1
Jihie Kim,http://data.semanticweb.org/person/jihie-kim,http://data.semanticweb.org/conference/iswc/2006,,1,,,,d5c28cd2c22e5cf024a60b8351fd403fa5eac42d,1,University of Southern California,http://data.semanticweb.org/organization/university-of-southern-california,1
Jing Mei,http://data.semanticweb.org/person/jing-mei,http://data.semanticweb.org/conference/iswc/2006,,1,,,,44e0c14043f2b8c82a54a7be2bf35a6d8d65adeb,1,IBM China Research;Beijing University,http://data.semanticweb.org/organization/ibm-china-research-laboratory;http://data.semanticweb.org/organization/beijing-university,2
John Domingue,http://data.semanticweb.org/person/john-domingue,http://data.semanticweb.org/conference/iswc/2006,,1,,,,7a2060edccab110375a972e3c3596aa787f1897e,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Jorge A. Perez,http://data.semanticweb.org/person/jorge-a-perez,http://data.semanticweb.org/conference/iswc/2006,,1,,,,4318873bb5c9939eac741d7c48f7c88a27703e6f,1,Universidad de Talca,http://data.semanticweb.org/organization/universidad-de-talca,1
Joseph Hassell,http://data.semanticweb.org/person/joseph-hassell,http://data.semanticweb.org/conference/iswc/2006,,1,,,,442421f7bcce69cb31cae394cd396d494ff134a0,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Juanzi Li,http://data.semanticweb.org/person/juanzi-li,http://data.semanticweb.org/conference/iswc/2006,,1,,,,c3a13805c2241db080dc04bc5f49fd61b4a07910,1,Tsinghua University,http://data.semanticweb.org/organization/tsinghua-university,1
Jürgen Umbrich,http://data.semanticweb.org/person/juergen-umbrich,http://data.semanticweb.org/conference/iswc/2006,,1,,,,b9514eba2ed2ae41a072765fe3ed3544de10974f,1,,,0
Junichiro Mori,http://data.semanticweb.org/person/junichiro-mori,http://data.semanticweb.org/conference/iswc/2006,,1,,,,e396274f71ac797be0ef211aca0ee33905bdf53e,1,"University of Tokyo;National Institute of Advanced Industrial Science and Technology, Japan",http://data.semanticweb.org/organization/university-of-tokyo;http://data.semanticweb.org/organization/national-institute-of-advanced-industrial-science-and-technology-japan,2
Kalina Bontcheva,http://data.semanticweb.org/person/kalina-bontcheva,http://data.semanticweb.org/conference/iswc/2006,,1,,,,5574ad5b9595a8bef6d163251792e4be24bdedcf,1,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Kavitha Srinivas,http://data.semanticweb.org/person/kavitha-srinivas,http://data.semanticweb.org/conference/iswc/2006,,1,,,,3524dd31de79a544b21dd104327c3c7eb9a9f139,1,IBM Watson Research,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Khalid Belhajjame,http://data.semanticweb.org/person/khalid-belhajjame,http://data.semanticweb.org/conference/iswc/2006,,1,,,,ce2cbe0e7e3c5e47fc796a954fee891e12b4ea97,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Klaas Dellschaft,http://data.semanticweb.org/person/klaas-dellschaft,http://data.semanticweb.org/conference/iswc/2006,,1,,,,eae2717871287ee074d3e89a2ea58c2ee0026b8b,1,Universität Koblenz-Landau,http://data.semanticweb.org/organization/university-of-koblenz-landau,1
Krys Kochut,http://data.semanticweb.org/person/krys-kochut,http://data.semanticweb.org/conference/iswc/2006,,1,,,,2bd72d12b19e522246834ebb2ff36b835d1ffaa0,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Kwok Cheung,http://data.semanticweb.org/person/kwok-cheung,http://data.semanticweb.org/conference/iswc/2006,,1,,,,425f3eec5c38683fd31174f45a89fdb54c0019e6,1,The University of Queensland,http://data.semanticweb.org/organization/the-university-of-queensland,1
Lalana Kagal,http://data.semanticweb.org/person/lalana-kagal,http://data.semanticweb.org/conference/iswc/2006,,1,,,,68047c6f3a10c173746fa3f6fc6f9218d2921d64,1,MIT,http://data.semanticweb.org/organization/mit-csail,1
Li Ding,http://data.semanticweb.org/person/li-ding,http://data.semanticweb.org/conference/iswc/2006,,1,,,,1185b2fabb218cc39a7cd5f12a55b980bc2a7e2d,1,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Li Ma,http://data.semanticweb.org/person/li-ma,http://data.semanticweb.org/conference/iswc/2006,,2,,,,a12dfb43dd03863a25af319ca616c69fbc96e460,1,IBM China Research,http://data.semanticweb.org/organization/ibm-china-research-laboratory,1
Liliana Cabral,http://data.semanticweb.org/person/liliana-cabral,http://data.semanticweb.org/conference/iswc/2006,,1,,,,306e2663bec203d5d3f18c105f206de5ceafe7f6,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Loredana Laera,http://data.semanticweb.org/person/loredana-laera,http://data.semanticweb.org/conference/iswc/2006,,1,,,,9954448e38dbdd65a4a5218f9ff063715e1a0110,1,University of Liverpool,http://data.semanticweb.org/organization/university-of-liverpool,1
Luc Steels,http://data.semanticweb.org/person/luc-steels,http://data.semanticweb.org/conference/iswc/2006,,1,,,,5128f462cd631976967406a31702cb7e5f079580,1,"Vrije Universiteit Brussel;Sony Computer Science Laboratory, Paris",http://data.semanticweb.org/organization/vrije-universiteit-brussel;http://data.semanticweb.org/organization/sony-computer-science-laboratory-paris,2
Luke McDowell,http://data.semanticweb.org/person/luke-mcdowell,http://data.semanticweb.org/conference/iswc/2006,,1,,,,cc1ead6d7b6598fe703c0a8290e0f51a7da4ebaf,1,U.S. Naval Academy,http://data.semanticweb.org/organization/us-naval-academy,1
Lynda Hardman,http://data.semanticweb.org/person/lynda-hardman,http://data.semanticweb.org/conference/iswc/2006,,1,,,,bb1dc914218d7202fe7f085b2cbe838778e1b1aa,1,CWI Amsterdam,http://data.semanticweb.org/organization/cwi-amsterdam,1
Makoto Nakatsuji,http://data.semanticweb.org/person/makoto-nakatsuji,http://data.semanticweb.org/conference/iswc/2006,,1,,,,676bbe0a08c39b31531c2543d7d3a6cd11ee1090,1,NTT Network Service Systems Laboratories,http://data.semanticweb.org/organization/ntt-network-service-systems-laboratories,1
Manolis Koubarakis,http://data.semanticweb.org/person/manolis-koubarakis,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f6328670e50015df3f8cd25fde755a1d44a3dfde,1,National and Kapodistrian University of Athens,http://data.semanticweb.org/organization/national-and-kapodistrian-university-of-athens,1
Marcelo Arenas,http://data.semanticweb.org/person/marcelo-arenas,http://data.semanticweb.org/conference/iswc/2006,,1,,,,263fbdd4ad0d4f74a9a210582a03d51d7e04b904,1,Pontificia Universidad Católica de Chile,http://data.semanticweb.org/organization/pontificia-universidad-catolica-de-chile,1
Marco Brambilla,http://data.semanticweb.org/person/marco-brambilla,http://data.semanticweb.org/conference/iswc/2006,,1,,,,fee246521f687f6f3801fe20475920ca6ee67562,1,Politecnico di Milano,http://data.semanticweb.org/organization/politecnico-di-milano,1
Marcus Herzog,http://data.semanticweb.org/person/marcus-herzog,http://data.semanticweb.org/conference/iswc/2006,,1,,,,473ff135135d2aa0f805e6d71e6578734fe0d4fd;42c739c53dc301705a10f536cde4a7281b47ad49,2,Technische Universität Wien,http://data.semanticweb.org/organization/vienna-university-of-technology,1
Mark Musen,http://data.semanticweb.org/person/mark-a-musen,http://data.semanticweb.org/conference/iswc/2006,,1,,,,60602b405f9d456ffc0e30d22d535100159b7874,1,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Marta Sabou,http://data.semanticweb.org/person/marta-sabou,http://data.semanticweb.org/conference/iswc/2006,,1,,,,19f8655880a3531e2a1d6eb329f44d5d6b88324b,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Matthias Klusch,http://data.semanticweb.org/person/matthias-klusch,http://data.semanticweb.org/conference/iswc/2006,,1,,,,57876bb570c0df05cb5353220e5b2e1a040c1409,1,Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),http://data.semanticweb.org/organization/german-research-center-for-artificial-intelligence-dfki,1
Matthias Nickles,http://data.semanticweb.org/person/matthias-nickles,http://data.semanticweb.org/conference/iswc/2006,,1,,,,25e7bd568fd335241d581faeaf1985c7c2cbaf3a,1,Technische Universität München,http://data.semanticweb.org/organization/technische-universitaet-muenchen,1
Melanie Aurnhammer,http://data.semanticweb.org/person/melanie-aurnhammer,http://data.semanticweb.org/conference/iswc/2006,,1,,,,1f675cef5b2fc03c0460595698eb8dcf3f38c389,1,"Sony Computer Science Laboratory, Paris",http://data.semanticweb.org/organization/sony-computer-science-laboratory-paris,1
Michael Cafarella,http://data.semanticweb.org/person/michael-cafarella,http://data.semanticweb.org/conference/iswc/2006,,1,,,,2e023bd7b52f04c11dcc7b27352392d0cca4e9a6,1,University of Washington,http://data.semanticweb.org/organization/university-of-washington,1
Michiel Hildebrand,http://data.semanticweb.org/person/michiel-hildebrand,http://data.semanticweb.org/conference/iswc/2006,,1,,,,c0a2878aa5a07781954d365dbe843dc216283630,1,CWI Amsterdam,http://data.semanticweb.org/organization/cwi-amsterdam,1
Mick Kerrigan,http://data.semanticweb.org/person/mick-kerrigan,http://data.semanticweb.org/conference/iswc/2006,,1,,,,a4f4b2f1dfcbd801e01a00edded02f9675847eb8,1,Universität Innsbruck,http://data.semanticweb.org/organization/deri-universitaet-innsbruck,1
Mingcai Hong,http://data.semanticweb.org/person/mingcai-hong,http://data.semanticweb.org/conference/iswc/2006,,1,,,,d07647e5be19909b194a18c77c441c39734859c7,1,Tsinghua University,http://data.semanticweb.org/organization/tsinghua-university,1
Mitsuru Ishizuka,http://data.semanticweb.org/person/mitsuru-ishizuka,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f21563740e5d119ce80fe8fe98480882fd81a740,1,University of Tokyo,http://data.semanticweb.org/organization/university-of-tokyo,1
Murat Osman Ünalir,http://data.semanticweb.org/person/murat-osman-unalir,http://data.semanticweb.org/conference/iswc/2006,,1,,,,5d5f821d8ffd18c52a48b8f5c4dd8f1b8b77b310,1,,,0
Nataliya Prokoshyna,http://data.semanticweb.org/person/nataliya-prokoshyna,http://data.semanticweb.org/conference/iswc/2006,,1,,,,33022f318062290b0dfc68cda2f33c76ad636fec,1,University of Toronto,http://data.semanticweb.org/organization/university-of-toronto,1
Natalya Noy,http://data.semanticweb.org/person/natalya-noy,http://data.semanticweb.org/conference/iswc/2006,,1,,,,7d8b34490f91ef43b84489a7630394b04a8c2c21,1,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Nigel Shadbolt,http://data.semanticweb.org/person/nigel-r-shadbolt,http://data.semanticweb.org/conference/iswc/2006,,1,,,,e966302104bd52f060f0e4545e8299f2d54ee3ae,1,University of Southampton,http://data.semanticweb.org/organization/university-of-southampton,1
Niraj Aswani,http://data.semanticweb.org/person/niraj-aswani,http://data.semanticweb.org/conference/iswc/2006,,1,,,,efdc0acea6b6b5922c73885a8d75a1a6a27dfa7c,1,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Norman W. Paton,http://data.semanticweb.org/person/norman-w-paton,http://data.semanticweb.org/conference/iswc/2006,,1,,,,3f55a5498ffa76cc3f37f2816ece9e30f04e5102,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Ora Lassila,http://data.semanticweb.org/person/ora-lassila,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f1f7489808a1c44bbb8626c040a81260dcf55319,1,Nokia Research Center Cambridge,http://data.semanticweb.org/organization/nokia-research-center-cambridge,1
Övunç Öztürk,http://data.semanticweb.org/person/ovunc-ozturk,http://data.semanticweb.org/conference/iswc/2006,,1,,,,7ecde5eaae835943b0273a700be98ca6698d66c4,1,,,0
Peter Hanappe,http://data.semanticweb.org/person/peter-hanappe,http://data.semanticweb.org/conference/iswc/2006,,1,,,,304d4d171c4d9fcc8bd9d25b71c2d93da1b82e2a,1,"Sony Computer Science Laboratory, Paris",http://data.semanticweb.org/organization/sony-computer-science-laboratory-paris,1
Peter Wood,http://data.semanticweb.org/person/peter-wood,http://data.semanticweb.org/conference/iswc/2006,,1,,,,72bad06362a2e3f7f96d246756d4149011aca672,1,"Birkbeck, University of London",http://data.semanticweb.org/organization/birkbeck-university-of-london,1
Rebecca Montanari,http://data.semanticweb.org/person/rebecca-montanari,http://data.semanticweb.org/conference/iswc/2006,,1,,,,39ac867fcc49cd9166935253ebd2d8e3f5894590,1,Università di Bologna,http://data.semanticweb.org/organization/universita-di-bologna,1
Renaud Delbru,http://data.semanticweb.org/person/renaud-delbru,http://data.semanticweb.org/conference/iswc/2006,,1,,,,247d80518c87c6f8129d5a3ec60a07665eded006,1,"National University of Ireland, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Riccardo Rosati,http://data.semanticweb.org/person/riccardo-rosati,http://data.semanticweb.org/conference/iswc/2006,,1,,,,347c5f7b49d6802f343668845c30c5e610d28a7f,1,University of Rome,http://data.semanticweb.org/organization/sapienza-university-of-rome,1
Robert M. Colomb,http://data.semanticweb.org/person/robert-m-colomb,http://data.semanticweb.org/conference/iswc/2006,,1,,,,98b9412be16e09e6b78694fd72fee683c26a4008,1,The University of Queensland,http://data.semanticweb.org/organization/the-university-of-queensland,1
Robert Stevens,http://data.semanticweb.org/person/robert-stevens,http://data.semanticweb.org/conference/iswc/2006,,1,,,,099637227c4896404c690a15a4f76519087c7163,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Ryan Lee,http://data.semanticweb.org/person/ryan-lee,http://data.semanticweb.org/conference/iswc/2006,,1,,,,0bdedea106a04c9b7650c2419c8ac3fcc270f6b6,1,W3C,http://data.semanticweb.org/organization/w3c,1
Saartje Brockmans,http://data.semanticweb.org/person/saartje-brockmans,http://data.semanticweb.org/conference/iswc/2006,,1,,,,a55cb9636142c80d467d27bc2dfd6cdb90b92d3c,1,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),http://data.semanticweb.org/organization/institut-aifb-universitaet-karlsruhe,1
Sean Bechhofer,http://data.semanticweb.org/person/sean-bechhofer,http://data.semanticweb.org/conference/iswc/2006,,1,,,,cdc01cde5b33382c60bdc4c0a68ca5c1736ec313,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Sheila McIlraith,http://data.semanticweb.org/person/sheila-mcilraith,http://data.semanticweb.org/conference/iswc/2006,,1,,,,397914ec03c3768254e52decb94e58b526641864,1,University of Toronto,http://data.semanticweb.org/organization/university-of-toronto,1
