role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Alessio Gugliotta,http://data.semanticweb.org/person/alessio-gugliotta,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,University of Udine,1
,,,,,Brian Shields,http://data.semanticweb.org/person/brian-shields,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,"National University of Ireland, Galway",1
,,,,,Carlos Lamsfus,http://data.semanticweb.org/person/carlos-lamsfus,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,Visual Interaction and Communications Centre,1
,,,,,Giorgos Flouris,http://data.semanticweb.org/person/giorgos-flouris,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,FORTH-ICS,1
,,,,,Lee Lacy,http://data.semanticweb.org/person/lee-lacy,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,University of Central Florida,1
,,,,,Owen Gilson,http://data.semanticweb.org/person/owen-gilson,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,Swansea University,1
,,,,,Santtu Toivonen,http://data.semanticweb.org/person/santtu-toivonen,,1,Proceedings of ISWC 2005 Doctoral Symposium,,,,0,VTT Technical Research Centre of Finland,1
,,,,,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,University of Zurich,1
,,,,,Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,,3,Proceedings of ISWC 2005 Poster and Demo,,,,0,"University of Maryland, College Park",1
,,,,,Aida Jertila,http://data.semanticweb.org/person/aida-jertila,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Alan Smeaton,http://data.semanticweb.org/person/alan-smeaton,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Alex Sinner,http://data.semanticweb.org/person/alex-sinner,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Alistair Duke,http://data.semanticweb.org/person/alistair-duke,,2,Proceedings of ISWC 2005 Poster and Demo,,,,0,BT Innovate,1
,,,,,Alistair Miles,http://data.semanticweb.org/person/alistair-miles,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Alistair Russell,http://data.semanticweb.org/person/alistair-russell,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Alun Preece,http://data.semanticweb.org/person/alun-preece,,2,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Amit Sheth,http://data.semanticweb.org/person/amit-sheth,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,University of Georgia;Semagix,2
,,,,,Andreas Becks,http://data.semanticweb.org/person/andreas-becks,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Andreas Harth,http://data.semanticweb.org/person/andreas-harth,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,"DERI, NUI Galway",1
,,,,,Andrew J. Cowell,http://data.semanticweb.org/person/andrew-j-cowell,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Andrew Schain,http://data.semanticweb.org/person/andrew-schain,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Anil Wipat,http://data.semanticweb.org/person/anil-wipat,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Anu Ylisalmi,http://data.semanticweb.org/person/anu-ylisalmi,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Anupam Joshi,http://data.semanticweb.org/person/anupam-joshi,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,"University of Maryland, Baltimore County",1
,,,,,Armando Stellato,http://data.semanticweb.org/person/armando-stellato,,2,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Arttu Valo,http://data.semanticweb.org/person/arttu-valo,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Ashley Smith,http://data.semanticweb.org/person/ashley-smith,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Benjamin Nowack,http://data.semanticweb.org/person/benjamin-nowack,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Bernardo Cuenca Grau,http://data.semanticweb.org/person/bernardo-cuenca-grau,,2,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Bernd Mrohs,http://data.semanticweb.org/person/bernd-mrohs,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Bijan Parsia,http://data.semanticweb.org/person/bijan-parsia,,5,Proceedings of ISWC 2005 Poster and Demo,,,,0,"University of Maryland, College Park",1
,,,,,Björn Schnizler,http://data.semanticweb.org/person/bjoern-schnizler,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Bonnie Swart,http://data.semanticweb.org/person/bonnie-swart,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Boris Motik,http://data.semanticweb.org/person/boris-motik,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,FZI Forschungszentrum_Informatik,1
,,,,,Brian Kettler,http://data.semanticweb.org/person/brian-kettler,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Brian Matthews,http://data.semanticweb.org/person/brian-matthews,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Christian Bizer,http://data.semanticweb.org/person/christian-bizer,,2,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Christian Halaschek-Wiener,http://data.semanticweb.org/person/christian-halaschek-wiener,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Christian Seeling,http://data.semanticweb.org/person/christian-seeling,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
,,,,,Christoph Kiefer,http://data.semanticweb.org/person/christoph-kiefer,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,University of Zurich,1
,,,,,Christoph Quix,http://data.semanticweb.org/person/christoph-quix,,1,Proceedings of ISWC 2005 Poster and Demo,,,,0,,0
