role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Knud Möller,http://data.semanticweb.org/person/knud-moeller,http://kantenwerk.org,,,b15d1e7efb11374644555fa9734bf75a553a362c,1,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Richard Cyganiak,http://data.semanticweb.org/person/richard-cyganiak,http://richard.cyganiak.de/,,,39f3c9b7479a83c76596a7c92b61f76dee3f5343,1,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Richard Cyganiak,http://data.semanticweb.org/person/richard-cyganiak,http://richard.cyganiak.de/,,,39f3c9b7479a83c76596a7c92b61f76dee3f5343,1,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Harith Alani,http://data.semanticweb.org/person/harith-alani,http://www.ecs.soton.ac.uk/~ha,,,7c2ab565d1b14088c57954680eacbe9522329763,1,"University of Southampton;School of Electronic and Computer Science, University of Southampton, U.K.;ECS, University of Southampton",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Harith Alani,http://data.semanticweb.org/person/harith-alani,http://www.ecs.soton.ac.uk/~ha,,,7c2ab565d1b14088c57954680eacbe9522329763,1,"University of Southampton;School of Electronic and Computer Science, University of Southampton, U.K.;ECS, University of Southampton",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Oscar Corcho,http://data.semanticweb.org/person/oscar-corcho,http://www.dia.fi.upm.es/index.php?page=oscar-corcho&hl=en_US,,,,0,Universidad Politécnica de Madrid (Ontology Engineering Group);Universidad Politécnica de Madrid,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Oscar Corcho,http://data.semanticweb.org/person/oscar-corcho,http://www.dia.fi.upm.es/index.php?page=oscar-corcho&hl=en_US,,,,0,Universidad Politécnica de Madrid (Ontology Engineering Group);Universidad Politécnica de Madrid,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Tania Tudorache,http://data.semanticweb.org/person/tania-tudorache,http://bmir.stanford.edu/people/view.php/tania_tudorache,,,,0,Stanford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster and Demonstration Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Tania Tudorache,http://data.semanticweb.org/person/tania-tudorache,http://bmir.stanford.edu/people/view.php/tania_tudorache,,,,0,Stanford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Proceedings Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Krishnaprasad Thirunarayan,http://data.semanticweb.org/person/krishnaprasad-thirunarayan,http://www.cs.wright.edu/~tkprasad,,,,0,"Wright State University;Kno.e.sis Research Center, Wright State University",1
