name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Abir Qasem,http://data.semanticweb.org/person/abir-qasem,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track),0,,,,,0,Bridgewater College,http://data.semanticweb.org/organization/bridgewater-college,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2012,Chair;General Chair,0,,,,,0,University of Zurich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track),1,,,,,0,IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Adila A. Krisnadhi,http://data.semanticweb.org/person/adila-a-krisnadhi,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track),0,,,,,0,"Kno.e.sis, Wright State University",http://data.semanticweb.org/organization/knoesis-wright-state-university,1
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2012,,1,https://researcher.ibm.com/researcher/view.php?person=us-adityakal,,,,0,IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Adrian Mocan,http://data.semanticweb.org/person/adrian-mocan,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Semantic Web in Use),0,,,,,0,SAP AG,http://data.semanticweb.org/organization/sap-ag,1
Adrian Paschke,http://data.semanticweb.org/person/adrian-paschke,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,Free University of Berlin,http://data.semanticweb.org/organization/free-university-of-berlin,1
Aibo Tian,http://data.semanticweb.org/person/aibo-tian,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,University of Texas at Austin,http://data.semanticweb.org/organization/university-of-texas-at-austin,1
Aidan Hogan,http://data.semanticweb.org/person/aidan-hogan,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track);PC Member at ISWC2012 (Posters and Demos),1,http://aidanhogan.com,,,,0,"DERI, Galway",http://data.semanticweb.org/organization/deri-galway,1
Akihiko Ohsuga,http://data.semanticweb.org/person/akihiko-ohsuga,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,University of Electro-Communications,http://data.semanticweb.org/organization/university-of-electro-communications,1
Alan Eckhardt,http://data.semanticweb.org/person/alan-eckhardt,http://data.semanticweb.org/conference/iswc/2012,,2,http://www.abdn.ac.uk/ncs/profiles/a.eckhardt,,,,0,University of Aberdeen,http://data.semanticweb.org/organization/university-of-aberdeen,1
Alasdair J. G. Gray,http://data.semanticweb.org/person/alasdair-j-g-gray,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track),0,,,,,0,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester,1
Alberto Lavelli,http://data.semanticweb.org/person/alberto-lavelli,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,Fondazione Bruno Kessler,http://data.semanticweb.org/organization/fondazione-bruno-kessler,1
Alberto Musetti,http://data.semanticweb.org/person/alberto-musetti,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,University of Bologna,http://data.semanticweb.org/organization/university-of-bologna,1
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2012,PC Member at ISWC2012 (Research Track),1,http://stlab.istc.cnr.it/stlab/User:AldoGangemi,,,,0,ISTC-CNR,http://data.semanticweb.org/organization/istc-cnr,1
Alejandro Rodríguez González,http://data.semanticweb.org/person/alejandro-rodriguez-gonzalez,http://data.semanticweb.org/conference/iswc/2012,,0,http://www.alejandrorg.com,,,,0,Bioinformatics at Centre for Plant Biotechnology and Genomics UPM-INIA,http://data.semanticweb.org/organization/bioinformatics-at-centre-for-plant-biotechnology-and-genomics-upm-inia,1
Alessandro Bozzon,http://data.semanticweb.org/person/alessandro-bozzon,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,Politecnico di Milano,http://data.semanticweb.org/organization/politecnico-di-milano,1
Alessio Palmero Aprosio,http://data.semanticweb.org/person/alessio-palmero-aprosio,http://data.semanticweb.org/conference/iswc/2012,,1,http://hlt.fbk.eu/people/aprosio,,,,0,Fondazione Bruno Kessler,http://data.semanticweb.org/organization/fondazione-bruno-kessler,1
Alex Crow,http://data.semanticweb.org/person/alex-crow,http://data.semanticweb.org/conference/iswc/2012,,1,,,,,0,University of Arkansas at Little Rock,http://data.semanticweb.org/organization/university-of-arkansas-at-little-rock,1
Alex Stolz,http://data.semanticweb.org/person/alex-stolz,http://data.semanticweb.org/conference/iswc/2012,Organizer,0,,,,,0,Ludwig Maximilian University of Munich,http://data.semanticweb.org/organization/ludwig-maximilian-university-of-munich,1
