name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Abigail Tarem,http://data.semanticweb.org/person/abigail-tarem,http://data.semanticweb.org/conference/iswc/2010,,2,http://www.haifa.il.ibm.com/info/200904_MAGEN.shtml,,,5b52695450fc5a57e2a645c96904affa35aac214,1,"IBM Research, Haifa",http://data.semanticweb.org/organization/ibm-research-laboratory-haifa,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2010,Senior Member of ISWC 2010 Research Programme Committee,2,http://www.ifi.uzh.ch/ddis/bernstein.html,,,8704ad77580618cb845036d3a15626d30fd828c3,1,University of Zurich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2010,,2,http://domino.research.ibm.com/comm/research_people.nsf/pages/achille.index.html,,,42e105e76a4873077b7c63e06d51946a89f0eafd,1,IBM T.J. Watson Research Center,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Achim Rettinger,http://data.semanticweb.org/person/achim-rettinger,http://data.semanticweb.org/conference/iswc/2010,,0,http://www.aifb.kit.edu/web/Achim_Rettinger/en,,,c8534f2cda2d909bbb64009ae8156d78764438db,1,Karlsruhe Institute of Technology,http://data.semanticweb.org/organization/karlsruhe-institute-of-technology,1
Adam Marcus,http://data.semanticweb.org/person/adam-marcus,http://data.semanticweb.org/conference/iswc/2010,,1,http://people.csail.mit.edu/marcua/,,,0ab75a707766dda52bd08f4509736440b3f8d095,1,MIT,http://data.semanticweb.org/organization/massachusetts-institute-of-technology,1
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2010,Senior Member of ISWC 2010 Research Programme Committee,0,http://domino.research.ibm.com/comm/research_people.nsf/pages/adityakal.index.html,,,bbf73790640de98e8e30f2f5ed48b491a4ce8a12,1,IBM T.J. Watson Research Center,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Adrian Marte,http://data.semanticweb.org/person/adrian-marte,http://data.semanticweb.org/conference/iswc/2010,,1,http://www.sti-innsbruck.at/about/team/details/adrian-marte,,,7ae854a556d73b4957e15b6f13efc08eaa48e3e4,1,Universität Innsbruck,http://data.semanticweb.org/organization/deri-universitaet-innsbruck,1
Aidan Hogan,http://data.semanticweb.org/person/aidan-hogan,http://data.semanticweb.org/conference/iswc/2010,,1,http://sw.deri.org/~aidanh/,,,d2163e057507f828085f322cc77dc43b4105a158,1,"National University of Ireland, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Alain Barrat,http://data.semanticweb.org/person/alain-barrat,http://data.semanticweb.org/conference/iswc/2010,,1,http://www.cpt.univ-mrs.fr/~barrat/,,,2b086eef3cdab1c30ea819d0c933f382f2d2be59,1,Centre de Physique Theorique,http://data.semanticweb.org/organization/centre-de-physique-theorique,1
Alan Rector,http://data.semanticweb.org/person/alan-rector,http://data.semanticweb.org/conference/iswc/2010,,1,http://www.cs.man.ac.uk/~rector/home_page_rector/,,,b4c3594530b2a7d19366535aa05b2298a49b66ea,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Alasdair J. G. Gray,http://data.semanticweb.org/person/alasdair-j-g-gray,http://data.semanticweb.org/conference/iswc/2010,,1,http://www.cs.man.ac.uk/~graya/,,,5c6896bc0decadda7b540a70f877a8f4a8fe8d16,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2010,,0,http://www.istc.cnr.it/createhtml.php?nbr=71,,,8d7f004803b48a3b7c5e9f73dc16953069a6632d,1,ISTC-CNR;CNR Institute of Cognitive Sciences and Technology,http://data.semanticweb.org/organization/cnr-istc-italy,1
Aleksander Pohl,http://data.semanticweb.org/person/aleksander-pohl,http://data.semanticweb.org/conference/iswc/2010,,1,http://www.apohllo.pl/,,,f56ac57af169d6f9cffb076592fc5543e7f96114,1,Jagiellonian University,http://data.semanticweb.org/organization/jagiellonian-university,1
