role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Aaron Kershenbaum,http://data.semanticweb.org/person/aaron-kershenbaum,,1,,,,d0edbdad029f771a777df806ce970fe89a1b4271,1,IBM Watson Research,1
,,,,,Abhita Chugh,http://data.semanticweb.org/person/abhita-chugh,,1,,,,8a5e6d67c8c4cc0428e475e1ad74d0a511160986,1,Stanford University,1
,,,,,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,,1,,,,b2fd03f06df0171f95240e1d58ff3d47be82c74a,1,Universität Zürich,1
,,,,,Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,,1,,,,42e105e76a4873077b7c63e06d51946a89f0eafd,1,IBM Watson Research,1
,,,,,Adrian Mocan,http://data.semanticweb.org/person/adrian-mocan,,1,,,,bfee0d8ccefccc90080121419de00a7ee18824ef,1,Universität Innsbruck,1
,,,,,Ahlem Ben Hassine,http://data.semanticweb.org/person/ahlem-ben-hassine,,1,,,,623adfd7604c5a9f6e4caf536ab80e0733dee3db,1,"National Institute of Information and Communications Technology, Japan",1
,,,,,Alain Léger,http://data.semanticweb.org/person/alain-leger,,1,,,,5fbf9893d1fa7f2088ea6494871fbf964c38b81c,1,,0
,,,,,Alessandra Toninelli,http://data.semanticweb.org/person/alessandra-toninelli,,1,,,,e2fab5a7f8352fce6cb7d3a9a70fe9a7c22c73d1,1,Università di Bologna,1
,,,,,Alessio Gugliotta,http://data.semanticweb.org/person/alessio-gugliotta,,1,,,,0f41049f5e0ab98cd902f1893db8b9646ba26a5a,1,The Open University,1
,,,,,Alexandra Poulovassilis,http://data.semanticweb.org/person/alexandra-poulovassilis,,1,,,,b804c68178a28ccde3196f5512affec2d7ded34c,1,"Birkbeck, University of London",1
,,,,,Amit Sheth,http://data.semanticweb.org/person/amit-sheth,,1,,,,9c1dfd993ad7d1852e80ef8c87fac30e10776c0c,1,University of Georgia,1
,,,,,Andreas Harth,http://data.semanticweb.org/person/andreas-harth,,1,,,,349ba1da7307ffb78517ae557ade1dd5177a6dbb,1,"National University of Ireland, Galway",1
,,,,,Antoine Zimmermann,http://data.semanticweb.org/person/antoine-zimmermann,,1,,,,fe8558534c4eb4c894c9fad86288faa7ad057602,1,INRIA,1
,,,,,Bangyong Liang,http://data.semanticweb.org/person/bangyong-liang,,0,,,,3bd64fc2f08f3aac21908fb638861e46a0a681b4,1,,0
,,,,,Barry Norton,http://data.semanticweb.org/person/barry-norton,,1,,,,f4beeb3b53fc0c2ebc539642fe3e70fbf86dc62d,1,The Open University,1
,,,,,Bernhard Krüpl,http://data.semanticweb.org/person/bernhard-kruepl,,1,,,,ed818c978836b4f42cf93154c4e8e4c98bdd31d0;a350bc0b4a32a15c4514f71557100550c1098b04,2,,0
,,,,,Bijan Parsia,http://data.semanticweb.org/person/bijan-parsia,,2,,,,c9ef3edda6fd12cc1e9113217a75e5074e2ee80e,1,University of Manchester,1
,,,,,Boanerges Aleman-Meza,http://data.semanticweb.org/person/boanerges-aleman-meza,,1,,,,442421f7bcce69cb31cae394cd396d494ff134a0,1,University of Georgia,1
,,,,,Boris Motik,http://data.semanticweb.org/person/boris-motik,,1,,,,64f80fd3c2d12a29acf55513175d7913522a22af,1,University of Manchester,1
