event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo,category
http://data.semanticweb.org/conference/iswc/2013/track/evaluation,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Evaluation Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/industrial,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Industrial Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/poster-demo,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Poster and Demo Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/research,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Research Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/inuse,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Semantic Web In use Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/1,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Track 1,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/2,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Track 2,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/3,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Track 3,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/track/tutorial,http://data.semanticweb.org/conference/iswc/2013,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Tutorial Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2013/session-1a/event-01,http://data.semanticweb.org/conference/iswc/2013/session-1a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,On the Status of Experimental Research on the Semantic Web,,,,,,,,,,,"Heiner Stuckenschmidt,Michael Schuhmacher,Johannes Knopp,Christian Meilicke and Ansgar Scherp",,,,,,Research Track Paper
