role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Sheila A. McIlraith,http://data.semanticweb.org/person/sheila-a-mcilraith,,0,,,,,0,,0
,,,,,A A Piccini,http://data.semanticweb.org/person/a-a-piccini,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,A. Marconi,http://data.semanticweb.org/person/a-marconi,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Alan Rector,http://data.semanticweb.org/person/alan-rector,,1,Proceedings of ISWC 2004 Demo,,,,0,University of Manchester,1
,,,,,Andreas Heß,http://data.semanticweb.org/person/andreas-he,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Andrzej Uszok,http://data.semanticweb.org/person/andrzej-uszok,,1,Proceedings of ISWC 2004 Demo,,,,0,Florida Institute for Human and Machine Cognition,1
,,,,,Arjohn Kampman,http://data.semanticweb.org/person/arjohn-kampman,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Armin Haller,http://data.semanticweb.org/person/armin-haller,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Asunciòn Gomez-Perez,http://data.semanticweb.org/person/asuncion-gomez-perez,,1,Proceedings of ISWC 2004 Demo,,,,0,Technical University of Madrid,1
,,,,,Atanas Kiryakov,http://data.semanticweb.org/person/atanas-kiryakov,,1,Proceedings of ISWC 2004 Demo,,,,0,"Sirma AI, Ltd.",1
,,,,,B Joyner,http://data.semanticweb.org/person/b-joyner,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,B Kershaw,http://data.semanticweb.org/person/b-kershaw,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Boi Faltings,http://data.semanticweb.org/person/boi-faltings,,1,Proceedings of ISWC 2004 Demo,,,,0,EPFL,1
,,,,,Borislav Popov,http://data.semanticweb.org/person/borislav-popov,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Catherine Call,http://data.semanticweb.org/person/catherine-call,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Christoph Wieser,http://data.semanticweb.org/person/christoph-wieser,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Christopher J. Matheus,http://data.semanticweb.org/person/christopher-j-matheus,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Cormac Twomey,http://data.semanticweb.org/person/cormac-twomey,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Dae Woo Choi,http://data.semanticweb.org/person/dae-woo-choi,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Daisuke Yamamoto,http://data.semanticweb.org/person/daisuke-yamamoto,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Damyan Ognyanoff,http://data.semanticweb.org/person/damyan-ognyanoff,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Daniel Elenius,http://data.semanticweb.org/person/daniel-elenius,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,David Martin,http://data.semanticweb.org/person/david-martin,,1,Proceedings of ISWC 2004 Demo,,,,0,SRI International,1
,,,,,David O'Sullivan,http://data.semanticweb.org/person/david-osullivan,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Dean Allemang,http://data.semanticweb.org/person/dean-allemang,,1,Proceedings of ISWC 2004 Demo,,,,0,TopQuadrant Inc.,1
,,,,,Denilson Sell,http://data.semanticweb.org/person/denilson-sell,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Dimitar Manov,http://data.semanticweb.org/person/dimitar-manov,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,E. Cusenza,http://data.semanticweb.org/person/e-cusenza,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Enrico Motta,http://data.semanticweb.org/person/enrico-motta,,2,Proceedings of ISWC 2004 Demo,,,,0,The Open University,1
,,,,,Farshad Hakimpour,http://data.semanticweb.org/person/farshad-hakimpour,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Francois Bry,http://data.semanticweb.org/person/francois-bry,,1,Proceedings of ISWC 2004 Demo,,,,0,Ludwig Maximilian University of Munich,1
,,,,,Fumihiro Kato,http://data.semanticweb.org/person/fumihiro-kato,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Georg Gottlob,http://data.semanticweb.org/person/georg-gottlob,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Gianluca Tonti,http://data.semanticweb.org/person/gianluca-tonti,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Grigoris Antoniou,http://data.semanticweb.org/person/grigoris-antoniou,,1,Proceedings of ISWC 2004 Demo,,,,0,FORTH-ICS,1
,,,,,Grit Denker,http://data.semanticweb.org/person/grit-denker,,1,Proceedings of ISWC 2004 Demo,,,,0,SRI International,1
,,,,,Hai Wang,http://data.semanticweb.org/person/hai-wang,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Heikki Helin,http://data.semanticweb.org/person/heikki-helin,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Holger Knublauch,http://data.semanticweb.org/person/holger-knublauch,,2,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Ioannis Vlahavas,http://data.semanticweb.org/person/ioannis-vlahavas,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Ion Constantinescu,http://data.semanticweb.org/person/ion-constantinescu,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Irene Polikoff,http://data.semanticweb.org/person/irene-polikoff,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Ivan Terziev,http://data.semanticweb.org/person/ivan-terziev,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Jeen Broekstra,http://data.semanticweb.org/person/jeen-broekstra,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Jeffrey M. Bradshaw,http://data.semanticweb.org/person/jeffrey-m-bradshaw,,1,Proceedings of ISWC 2004 Demo,,,,0,Florida Institute for Human and Machine Cognition,1
,,,,,John Domingue,http://data.semanticweb.org/person/john-domingue,,2,Proceedings of ISWC 2004 Demo,,,,0,The Open University,1
,,,,,Jun'ichi Nakamura,http://data.semanticweb.org/person/junichi-nakamura,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Jurek Letkowski,http://data.semanticweb.org/person/jurek-letkowski,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Kalid Askar,http://data.semanticweb.org/person/kalid-askar,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Katashi Nagao,http://data.semanticweb.org/person/katashi-nagao,,2,Proceedings of ISWC 2004 Demo,,,,0,Nagoya University,1
,,,,,Katia Sycara,http://data.semanticweb.org/person/katia-sycara,,1,Proceedings of ISWC 2004 Demo,,,,0,Carnegie Mellon University,1
,,,,,Katsuhiko Kaji,http://data.semanticweb.org/person/katsuhiko-kaji,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Kazuhiro Kitagawa,http://data.semanticweb.org/person/kazuhiro-kitagawa,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Kazuhiro Kuwabara,http://data.semanticweb.org/person/kazuhiro-kuwabara,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Kenneth Baclawski,http://data.semanticweb.org/person/kenneth-baclawski,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Kiyoshi Yasuda,http://data.semanticweb.org/person/kiyoshi-yasuda,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,L Miller,http://data.semanticweb.org/person/l-miller,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Lars E. Olson,http://data.semanticweb.org/person/lars-e-olson,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Lars Ludwig,http://data.semanticweb.org/person/lars-ludwig,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Lars Marius Garshol,http://data.semanticweb.org/person/lars-marius-garshol,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Leo Sauermann,http://data.semanticweb.org/person/leo-sauermann,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Liliana Cabral,http://data.semanticweb.org/person/liliana-cabral,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Maciej Zaremba,http://data.semanticweb.org/person/maciej-zaremba,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Manuel Lama,http://data.semanticweb.org/person/manuel-lama,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Marco Pistore,http://data.semanticweb.org/person/marco-pistore,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Marcus Herzog,http://data.semanticweb.org/person/marcus-herzog,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Marja-Riitta Koivunen,http://data.semanticweb.org/person/marja-riitta-koivunen,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Mark A. Musen,http://data.semanticweb.org/person/mark-a-musen,,1,Proceedings of ISWC 2004 Demo,,,,0,Stanford University,1
,,,,,Mark Dougherty,http://data.semanticweb.org/person/mark-dougherty,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Martin Dzbor,http://data.semanticweb.org/person/martin-dzbor,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Masanori Kawamura,http://data.semanticweb.org/person/masanori-kawamura,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Massimo Paolucci,http://data.semanticweb.org/person/massimo-paolucci,,1,Proceedings of ISWC 2004 Demo,,,,0,Carnegie Mellon University,1
,,,,,Matthew Horridge,http://data.semanticweb.org/person/matthew-horridge,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Matthew Moran,http://data.semanticweb.org/person/matthew-moran,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Michael Sintek,http://data.semanticweb.org/person/michael-sintek,,1,Proceedings of ISWC 2004 Demo,,,,0,Deutsches Forschungszentrum für Künstliche Intelligenz (DFKI),1
,,,,,Michael Stollberg,http://data.semanticweb.org/person/michael-stollberg,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Michal Zaremba,http://data.semanticweb.org/person/michal-zaremba,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Michihiro Yamamoto,http://data.semanticweb.org/person/michihiro-yamamoto,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Mikko Laukkanen,http://data.semanticweb.org/person/mikko-laukkanen,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Mitch M. Kokar,http://data.semanticweb.org/person/mitch-m-kokar,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Natalya Noy,http://data.semanticweb.org/person/natalya-noy,,1,Proceedings of ISWC 2004 Demo,,,,0,Stanford University,1
,,,,,Naveen Srinivasan,http://data.semanticweb.org/person/naveen-srinivasan,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Ng S. T. Chong,http://data.semanticweb.org/person/ng-s-t-chong,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Nicholas Kushmerick,http://data.semanticweb.org/person/nicholas-kushmerick,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Nick Bassiliades,http://data.semanticweb.org/person/nick-bassiliades,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Nick Drummond,http://data.semanticweb.org/person/nick-drummond,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Nobuji Tetsutani,http://data.semanticweb.org/person/nobuji-tetsutani,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Nobuo Saito,http://data.semanticweb.org/person/nobuo-saito,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
,,,,,Noriaki Kuwahara,http://data.semanticweb.org/person/noriaki-kuwahara,,1,Proceedings of ISWC 2004 Demo,,,,0,,0
