name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
Abir Qasem,http://data.semanticweb.org/person/abir-qasem,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track),1,0,,,,,0,Bridgewater College,Bridgewater College,http://data.semanticweb.org/organization/bridgewater-college,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair; Session Chair; Senior PC Member at ISWC2013 (Evaluation Track); PC Member at ISWC2013 (Research Track),4,3,http://www.ifi.unizh.ch/ddis/people/bernstein/,,,8704ad77580618cb845036d3a15626d30fd828c3,1,University of Zurich,University of Zurich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track); Workshop Chair; PC Member at ISWC2013 (Semantic Web In Use Track); In-Use Track Chair,4,0,http://researcher.watson.ibm.com/researcher/view.php?person=us-achille,,,,0,IBM Research,IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Agata Filipowska,http://data.semanticweb.org/person/agata-filipowska,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair,1,0,,,,,0,Poznań University of Economics,Poznań University of Economics,http://data.semanticweb.org/organization/poznan-university-of-economics,1
Ahmed Abdelrahman,http://data.semanticweb.org/person/ahmed-abdelrahman,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,d831360cc8f8ba4ef5f1915378c36088fd5dd390,1,"DERI, Galway","DERI, Galway",http://data.semanticweb.org/organization/deri-galway,1
Ahmet Soylu,http://data.semanticweb.org/person/ahmet-soylu,http://data.semanticweb.org/conference/iswc/2013,,0,1,http://www.ahmetsoylu.com,,,b281e352fdfa9c82f9c80899b36a0b9e9cf97eaa,1,University of Oslo,University of Oslo,http://data.semanticweb.org/organization/university-of-oslo,1
Ahsan Morshed,http://data.semanticweb.org/person/ahsan-morshed,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair; Tutorial Organizer,2,0,,,,,0,CSIRO Australia,CSIRO Australia,http://data.semanticweb.org/organization/csiro-australia,1
Aibo Tian,http://data.semanticweb.org/person/aibo-tian,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,8e6e08bd78f610033fcb23b4004d6022fe158a1b,1,University of Texas at Austin,University of Texas at Austin,http://data.semanticweb.org/organization/university-of-texas-at-austin,1
Aidan Delaney,http://data.semanticweb.org/person/aidan-delaney,http://data.semanticweb.org/conference/iswc/2013,Tutorial Organizer,1,0,,,,,0,University of Brighton,University of Brighton,http://data.semanticweb.org/organization/university-of-brighton,1
Aidan Hogan,http://data.semanticweb.org/person/aidan-hogan,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair; PC Member at ISWC2013 (Posters and Demos); PC Member at ISWC2013 (Research Track),3,3,http://aidanhogan.com/,,,d2163e057507f828085f322cc77dc43b4105a158,1,"DERI, Galway","DERI, Galway",http://data.semanticweb.org/organization/deri-galway,1
Akihito Nakamura,http://data.semanticweb.org/person/akihito-nakamura,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,ab7cd41f46e4aad3468c037a84c736e94f2eb9cb,1,National Insititute of Advanced Industrial Science and Technology (Japan),National Insititute of Advanced Industrial Science and Technology (Japan),http://data.semanticweb.org/organization/national-insititute-of-advanced-industrial-science-and-technology-japan,1
Akiyoshi Matono,http://data.semanticweb.org/person/akiyoshi-matono,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,d521b1bb0a1bf1c31532a451c92019f2dfe09bd2,1,National Insititute of Advanced Industrial Science and Technology (Japan),National Insititute of Advanced Industrial Science and Technology (Japan),http://data.semanticweb.org/organization/national-insititute-of-advanced-industrial-science-and-technology-japan,1
Akshay Maan,http://data.semanticweb.org/person/akshay-maan,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Semantic Web In Use Track),1,0,,,,,0,Griffith University,Griffith University,http://data.semanticweb.org/organization/griffith-university,1
Alasdair Gray,http://data.semanticweb.org/person/alasdair-gray,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Semantic Web In Use Track),1,0,,,,,0,University of Manchester,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester,1
Alasdair J. G. Gray,http://data.semanticweb.org/person/alasdair-j-g-gray,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track),1,1,,,,0aadcd3e209afe65c0da689b6bc93c100ac33641,1,University of Manchester,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester,1
Albert Haque,http://data.semanticweb.org/person/albert-haque,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,a69c8d52c52d0cfbdabc2e7edd638dd14cc137b3,1,University of Texas at Austin,University of Texas at Austin,http://data.semanticweb.org/organization/university-of-texas-at-austin,1
Alberto Lavelli,http://data.semanticweb.org/person/alberto-lavelli,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,05ca6f4ae400a2e99af6d881295feb059c9f6645,1,Fondazione Bruno Kessler,Fondazione Bruno Kessler,http://data.semanticweb.org/organization/fondazione-bruno-kessler,1
Alberto Tonon,http://data.semanticweb.org/person/alberto-tonon,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,3b41efd1acf36406793166b43659b542c431776f,1,University of Fribourg,University of Fribourg,http://data.semanticweb.org/organization/university-of-fribourg,1
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track); Semantic Web Jam Session Chair,2,3,http://stlab.istc.cnr.it/Aldo_Gangemi; http://www.loa.istc.cnr.it/gangemi.html,,,8d7f004803b48a3b7c5e9f73dc16953069a6632d,1,ISTC-CNR,ISTC-CNR,http://data.semanticweb.org/organization/istc-cnr,1
Aleix Garrido,http://data.semanticweb.org/person/aleix-garrido,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,c78cbf7d1fd965923c3f81573a73d8b581e38b10,1,"iSOCO, S.A.","iSOCO, S.A.",http://data.semanticweb.org/organization/isoco-sa,1
Alejandro Flores,http://data.semanticweb.org/person/alejandro-flores,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,146e86437b6b896420ce4ba619d1eb923b9e8f88,1,Simón Bolívar University,Simón Bolívar University,http://data.semanticweb.org/organization/simon-bolivar-university,1
Alessandra Mileo,http://data.semanticweb.org/person/alessandra-mileo,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track),1,2,http://www.deri.ie/about/team/member/alessandra_mileo/,,,25a11e331c48c51344a49c67ffd09a992cfeaf3f,1,"DERI, Galway","DERI, Galway",http://data.semanticweb.org/organization/deri-galway,1
Alessandra Sala,http://data.semanticweb.org/person/alessandra-sala,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,8496873f98f74c2067f6b7129048d93d2313af82,1,Alcatel Lucent Bell Labs,Alcatel Lucent Bell Labs,http://data.semanticweb.org/organization/alcatel-lucent-bell-labs,1
Alessandro Margara,http://data.semanticweb.org/person/alessandro-margara,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,276c86b789de1aa807a1923432b540b646821ba2,1,Vrije Universiteit Amsterdam,Vrije Universiteit Amsterdam,http://data.semanticweb.org/organization/vrije-universiteit-amsterdam,1
Alessandro Mosca,http://data.semanticweb.org/person/alessandro-mosca,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,56bffa11def8dee9df0b73fbae04023d3e85c5c3,1,Free University of Bozen-Bolzano,Free University of Bozen-Bolzano,http://data.semanticweb.org/organization/free-university-of-bozen-bolzano,1
Alessio Palmero Aprosio,http://data.semanticweb.org/person/alessio-palmero-aprosio,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,001e4d4a00b9bf4295967dcc0d3840c147704c63,1,University of Milan,University of Milan,http://data.semanticweb.org/organization/university-of-milan,1
Alexander Arturo Mera Caraballo,http://data.semanticweb.org/person/alexander-arturo-mera-caraballo,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,82a673fa35a6624e57c522f09cc7ed02de3edb29,1,Pontifical Catholic University of Rio de Janeiro,Pontifical Catholic University of Rio de Janeiro,http://data.semanticweb.org/organization/pontifical-catholic-university-of-rio-de-janeiro,1
Alexander Kirillovich,http://data.semanticweb.org/person/alexander-kirillovich,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,6a27a24da98e769d1f193575c9b78169c7c4c23c,1,Kazan (Volga region) Federal University,Kazan (Volga region) Federal University,http://data.semanticweb.org/organization/kazan-volga-region-federal-university,1
Alexander Schätzle,http://data.semanticweb.org/person/alexander-schaetzle,http://data.semanticweb.org/conference/iswc/2013,,0,1,http://www.informatik.uni-freiburg.de/~schaetzl/,,,406429b970021d69db594b17e3dcde173259fa79,1,University of Freiburg,University of Freiburg,http://data.semanticweb.org/organization/university-of-freiburg,1
Alexandre Passant,http://data.semanticweb.org/person/alexandre-passant,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Research Track); PC Member at ISWC2013 (Semantic Web In Use Track); PC Member at ISWC2013 (Posters and Demos),3,0,,,,,0,"seevl.net, MDG Web ltd","seevl.net, MDG Web ltd",http://data.semanticweb.org/organization/seevlnet-mdg-web-ltd,1
Alireza Rahimi,http://data.semanticweb.org/person/alireza-rahimi,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,b74d4194174f9149f3dcae1e1904f485ab942dc5,1,University of New South Wales,University of New South Wales,http://data.semanticweb.org/organization/university-of-new-south-wales,1
Alistair Hamilton,http://data.semanticweb.org/person/alistair-hamilton,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair,1,0,,,,,0,Australian Bureau of Statistics,Australian Bureau of Statistics,http://data.semanticweb.org/organization/australian-bureau-of-statistics,1
Amal Zouaq,http://data.semanticweb.org/person/amal-zouaq,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Semantic Web In Use Track),1,0,,,,,0,Royal Military College of Canada,Royal Military College of Canada,http://data.semanticweb.org/organization/royal-military-college-of-canada,1
Amedeo Napoli,http://data.semanticweb.org/person/amedeo-napoli,http://data.semanticweb.org/conference/iswc/2013,,0,2,,,,e41a677b5c392b0fb481e1f8fa1077c01f62785a,1,LORIA,LORIA; INRIA,http://data.semanticweb.org/organization/loria; http://data.semanticweb.org/organization/inria,2
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2013,Workshop Chair,1,0,,,,,0,Wright State University,Wright State University,http://data.semanticweb.org/organization/wright-state-university,1
Amrapali Zaveri,http://data.semanticweb.org/person/amrapali-zaveri,http://data.semanticweb.org/conference/iswc/2013,PC Member at ISWC2013 (Semantic Web In Use Track),1,2,,,,77eda3f1f02b4e3244f0e8027bd5655a9ed1716d,1,Leipzig University,Leipzig University,http://data.semanticweb.org/organization/leipzig-university,1
Anastasia Dimou,http://data.semanticweb.org/person/anastasia-dimou,http://data.semanticweb.org/conference/iswc/2013,,0,1,,,,f9d7742f673634abec5e8fa870de9b2a0c35be67,1,Ghent University,Ghent University,http://data.semanticweb.org/organization/ghent-university,1
