name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Aba-Sah Dadzie,http://data.semanticweb.org/person/aba-sah-dadzie,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2009,ISWC2009 Lightning Talks Session Chair;Program Chair at ISWC 2009,0,http://www.ifi.uzh.ch/ddis/people/bernstein/,,,,0,Universität Zürich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2009,,2,,,,,0,IBM Watson Research Center;IBM Research,http://data.semanticweb.org/organization/ibm-watson-research-center;http://data.semanticweb.org/organization/ibm-research,2
Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,http://data.semanticweb.org/conference/iswc/2009,,2,,,,b1fe362f3eabc1dac5c9829fb53fd2de0d556f5b,1,IBM Watson Research Center;IBM Research,http://data.semanticweb.org/organization/ibm-watson-research-center;http://data.semanticweb.org/organization/ibm-research,2
Ahmed Serhrouchni,http://data.semanticweb.org/person/ahmed-serhrouchni,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,Telecom ParisTech Paris France,http://data.semanticweb.org/organization/ecole-dingenieur-telecom-paristech,1
Akshay Bhat,http://data.semanticweb.org/person/akshay-bhat,http://data.semanticweb.org/conference/iswc/2009,,1,,,,8b35d427074f3d5293b9615bad90a87c1ba5c2d0,1,"Syracuse University, Institute of Chemical Technology;Syracuse University",http://data.semanticweb.org/organization/syracuse-university,1
Alain Barrat,http://data.semanticweb.org/person/alain-barrat,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,Institute for Scientific Interchange (ISI) Foundation,http://data.semanticweb.org/organization/institute-for-scientific-interchange-foundation,1
Alessandra Martello,http://data.semanticweb.org/person/alessandra-martello,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,"University of Calabria, Italy;University of Calabria",http://data.semanticweb.org/organization/university-of-calabria,1
Alex Stolz,http://data.semanticweb.org/person/alex-stolz,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,Universität der Bundeswehr München,http://data.semanticweb.org/organization/bundeswehr-university-munich-germany,1
Alexandre Passant,http://data.semanticweb.org/person/alexandre-passant,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Alpesh Gajbe,http://data.semanticweb.org/person/alpesh-gajbe,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,"Gnowledge Lab, Homi Bhabha Centre, Tata Institute of Fundamental Research",http://data.semanticweb.org/organization/homi-bhabha-centre-for-science-education,1
Aman Goel,http://data.semanticweb.org/person/aman-goel,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,University of Southern California,http://data.semanticweb.org/organization/university-of-southern-california,1
Amir Ghazvinian,http://data.semanticweb.org/person/amir-ghazvinian,http://data.semanticweb.org/conference/iswc/2009,,1,,,,fd478b7bc7d746f6fb582d5ffb49b7d57307436c,1,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2009,,1,,,,,0,"Wright State University;Kno.e.sis Research Center, Wright State University",http://data.semanticweb.org/organization/wright-state-university,1
Andrea Pugliese,http://data.semanticweb.org/person/andrea-pugliese,http://data.semanticweb.org/conference/iswc/2009,,1,,,,064465e1551fc8893f9c9056af94f7593691bdf0,1,"University of Calabria, Italy;University of Calabria",http://data.semanticweb.org/organization/university-of-calabria,1
