event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo,category
http://data.semanticweb.org/conference/iswc/2002/track/main,http://data.semanticweb.org/conference/iswc/2002,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Main Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2002/track/poster,http://data.semanticweb.org/conference/iswc/2002,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Poster Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2002/track/tutorial,http://data.semanticweb.org/conference/iswc/2002,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Tutorial Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2002/session-01/event-01,http://data.semanticweb.org/conference/iswc/2002/session-01,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"TRIPLE - A Query, Inference, and Transformation Language for the Semantic Web",,,,,,,,,,,Michael Sintek and Stefan Decker,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-01/event-02,http://data.semanticweb.org/conference/iswc/2002/session-01,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Global vs. Community Metadata Standards: Empowering Users for Knowledge Exchange,,,,,,,,,,,Marek Hatala and Griff Richards,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-01/event-03,http://data.semanticweb.org/conference/iswc/2002/session-01,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,The Usable Ontology: An Environment for Building and Assessing a Domain Ontology,,,,,,,,,,,"Michele Missikoff,Roberto Navigli and Paola Velardi",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-01/event-04,http://data.semanticweb.org/conference/iswc/2002/session-01,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Ontology-Based Integration of XML Web Resources,,,,,,,,,,,"Bernd Amann,Catriel Beeri,Irini Fundulaki and Michel Scholl",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-01/event-05,http://data.semanticweb.org/conference/iswc/2002/session-01,5,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Four Steps Towards the Widespread Adoption of a Semantic Web,,,,,,,,,,,Brian McBride,,,,,,Position Paper
http://data.semanticweb.org/conference/iswc/2002/session-02/event-01,http://data.semanticweb.org/conference/iswc/2002/session-02,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards High-Precision Service Retrieval,,,,,,,,,,,Abraham Bernstein and Mark Klein,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-02/event-02,http://data.semanticweb.org/conference/iswc/2002/session-02,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Bringing Together Semantic Web and Web Services,,,,,,,,,,,Joachim Peer,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-02/event-03,http://data.semanticweb.org/conference/iswc/2002/session-02,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Concurrent Execution Semantics of DAML-S with Subtypes,,,,,,,,,,,"Anupriya Ankolekar,Frank Huch and Katia P. Sycara",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-02/event-04,http://data.semanticweb.org/conference/iswc/2002/session-02,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Semantic Matching of Web Services Capabilities,,,,,,,,,,,"Massimo Paolucci,Takahiro Kawamura,Terry R. Payne and Katia P. Sycara",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-02/event-05,http://data.semanticweb.org/conference/iswc/2002/session-02,5,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Browsing Schedules - An Agent-Based Approach to Navigating the Semantic Web,,,,,,,,,,,"Terry R. Payne,Rahul Singh and Katia P. Sycara",,,,,,System Descriptions
http://data.semanticweb.org/conference/iswc/2002/session-03/event-01,http://data.semanticweb.org/conference/iswc/2002/session-03,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Layering the Semantic Web: Problems and Directions,,,,,,,,,,,Peter F. Patel-Schneider and Dieter Fensel,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-03/event-02,http://data.semanticweb.org/conference/iswc/2002/session-03,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Notions of Indistinguishability for Semantic Web Languages,,,,,,,,,,,Jaap Kamps and Maarten Marx,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-03/event-03,http://data.semanticweb.org/conference/iswc/2002/session-03,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Representing Disjunction and Quantifiers in RDF,,,,,,,,,,,Drew V. McDermott and Dejing Dou,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-03/event-04,http://data.semanticweb.org/conference/iswc/2002/session-03,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Nonmonotonic Rule Systems on Top of Ontology Layers,,,,,,,,,,,Grigoris Antoniou,,,,,,Position Paper
http://data.semanticweb.org/conference/iswc/2002/session-03/event-05,http://data.semanticweb.org/conference/iswc/2002/session-03,5,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"Three Implementations of SquishQL, a Simple RDF Query Language",,,,,,,,,,,"Libby Miller,Andy Seaborne and Alberto Reggiori",,,,,,System Descriptions
http://data.semanticweb.org/conference/iswc/2002/session-04/event-01,http://data.semanticweb.org/conference/iswc/2002/session-04,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,OntoEdit: Collaborative Ontology Development for the Semantic Web,,,,,,,,,,,"York Sure,Michael Erdmann,Jürgen Angele,Steffen Staab,Rudi Studer and Dirk Wenke",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-04/event-02,http://data.semanticweb.org/conference/iswc/2002/session-04,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Data Integration Framework for e-Commerce Product Classification,,,,,,,,,,,"Sonia Bergamaschi,Francesco Guerra and Maurizio Vincini",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-04/event-03,http://data.semanticweb.org/conference/iswc/2002/session-04,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,SWAD-Europe: Semantic Web Advanced Development in Europe,,,,,,,,,,,"Dan Brickley,S. Buswell,B. M. Matthews,L. Miller,D. Reynolds and Michael D. Wilson",,,,,,Position Paper
http://data.semanticweb.org/conference/iswc/2002/session-04/event-04,http://data.semanticweb.org/conference/iswc/2002/session-04,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,ClaiMaker: Weaving a Semantic Web of Research Papers,,,,,,,,,,,"Gangmin Li,Victoria S. Uren,Enrico Motta,Simon Buckingham Shum and John Domingue",,,,,,System Descriptions
http://data.semanticweb.org/conference/iswc/2002/session-04/event-05,http://data.semanticweb.org/conference/iswc/2002/session-04,5,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,WebTheme™: Understanding Web Information through Visual Analytics,,,,,,,,,,,Mark A. Whiting and Nick Cramer,,,,,,System Descriptions
http://data.semanticweb.org/conference/iswc/2002/session-06/event-01,http://data.semanticweb.org/conference/iswc/2002/session-06,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Benchmarking RDF Schemas for the Semantic Web,,,,,,,,,,,"Aimilia Magkanaraki,Sofia Alexaki,Vassilis Christophides and Dimitris Plexousakis",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-06/event-02,http://data.semanticweb.org/conference/iswc/2002/session-06,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Integrating Vocabularies: Discovering and Representing Vocabulary Maps,,,,,,,,,,,Borys Omelayenko,,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-06/event-03,http://data.semanticweb.org/conference/iswc/2002/session-06,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards a Modification Exchange Language for Distributed RDF Repositories,,,,,,,,,,,"Wolfgang Nejdl,Wolf Siberski,Bernd Simon and Julien Tane",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-06/event-04,http://data.semanticweb.org/conference/iswc/2002/session-06,4,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards Semantic Web Mining,,,,,,,,,,,"Bettina Berendt,Andreas Hotho and Gerd Stumme",,,,,,Research Track Paper
http://data.semanticweb.org/conference/iswc/2002/session-06/event-05,http://data.semanticweb.org/conference/iswc/2002/session-06,5,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Consistency Checking of Semantic Web Ontologies,,,,,,,,,,,"Kenneth Baclawski,Mieczyslaw M. Kokar,Richard J. Waldinger and Paul A. Kogut",,,,,,System Descriptions
