event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo
http://data.semanticweb.org/conference/iswc/2001/track/tutorial,http://data.semanticweb.org/conference/iswc/2001,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Tutorial Track,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2001/track/work1,http://data.semanticweb.org/conference/iswc/2001,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Working Track 1: Ontology and Ontology Maintenance,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2001/track/work2,http://data.semanticweb.org/conference/iswc/2001,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,"Working Track 2: Interoperability, Integration, Composition",,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2001/track/work3,http://data.semanticweb.org/conference/iswc/2001,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Working Track 3: (Web-) Services and Applications,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1a/event-01,http://data.semanticweb.org/conference/iswc/2001/session-1a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,"The Semantic Web As ""Perfection Seeking"": A View from Drug Terminology",,,,,,,,,,,"Mark S. Tuttle,Steven H. Brown,Keith E. Campbell,John S. Carter,Kevin Keck,Michael J. Lincoln,Stuart J. Nelson and Michael Stonebraker",,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1a/event-02,http://data.semanticweb.org/conference/iswc/2001/session-1a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Industrial Strength Ontology Management,,,,,,,,,,,"Aseem Das,Wei Wu and Deborah L. McGuinness",,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1a/event-03,http://data.semanticweb.org/conference/iswc/2001/session-1a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,OntoMap - the Guide to the Upper-Level,,,,,,,,,,,Atanas K. Kirakov and Marin Dimitrov,,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1b/event-01,http://data.semanticweb.org/conference/iswc/2001/session-1b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards Semantic Interoperability in Agent-based Coalition Command Systems,,,,,,,,,,,"David N. Allsopp,Patrick Beautement,John Carson and Michael Kirton",,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1b/event-02,http://data.semanticweb.org/conference/iswc/2001/session-1b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Object Interoperability for Geospatial Applications,,,,,,,,,,,Isabel F. Cruz and Paul W. Calnan,,,,,
http://data.semanticweb.org/conference/iswc/2001/session-1b/event-03,http://data.semanticweb.org/conference/iswc/2001/session-1b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Brokerage of Intellectual Property Rights in the Semantic Web,,,,,,,,,,,Roberto García and Jaime Delgado,,,,,
