author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,subtitle_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
"Sushama Prasad,Yun Peng and Tim Finin",A Tool For Mapping Concepts Between Two Ontologies,,2002,http://iswc2002.semanticweb.org/posters/sprasad_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-43,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Tim Finin;Yun Peng;Sushama Prasad,3,http://iswc2002.semanticweb.org/posters/sprasad_a4.pdf,1
"Muthukkaruppan Annamalai,Lito Cruz,Leon Sterling and Glenn Moloney",Adding Semantics to Scientific Collaboration Documents,,2002,http://iswc2002.semanticweb.org/posters/annamalai.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-04,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Leon Sterling;Lito Cruz;Muthukkaruppan Annamalai;Glenn Moloney,4,http://iswc2002.semanticweb.org/posters/annamalai.pdf,1
"Oren Etzioni,Steve Gribble,Alon Halevy,Henry Levy and Luke McDowell",An Evolutionary Approach to the Semantic Web,,2002,http://iswc2002.semanticweb.org/posters/etzioni_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-16,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Oren Etzioni;Steve Gribble;Luke McDowell;Alon Halevy;Henry M. Levy,5,http://iswc2002.semanticweb.org/posters/etzioni_a4.pdf,1
"Jaime Delgado,Isabel Gallego,Roberto Garcia and Rosa Gil",An Ontology for Intellectual Property Rights: IPROnto,,2002,http://iswc2002.semanticweb.org/posters/delgado_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-14,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Roberto Garcia;Isabel Gallego;Jaime Delgado;Rosa Gil,4,http://iswc2002.semanticweb.org/posters/delgado_a4.pdf,1
Nicolas Sabouret and Jean-Paul Sansonnet,An action description model for active components in the Semantic Web,,2002,http://iswc2002.semanticweb.org/posters/sabouret_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-44,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Jean-Paul Sansonnet;Nicolas Sabouret,2,http://iswc2002.semanticweb.org/posters/sabouret_a4.pdf,1
"Vaclav Lin,Jan Rauch and Vojtech Svatek",Analytic Reports from KDD: Integration into Semantic Web,,2002,http://iswc2002.semanticweb.org/posters/linvaclav.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-36,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Jan Rauch;Vojtech Svatek;Vaclav Lin,3,http://iswc2002.semanticweb.org/posters/linvaclav.pdf,1
"Jun-ichi Akahani,Kaoru Hiramatsu and Kiyoshi Kogure",Approximate Ontology Translation and its Application to Regional Information Services,,2002,http://iswc2002.semanticweb.org/posters/akahani_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-03,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Kaoru Hiramatsu;Jun-ichi Akahani;Kiyoshi Kogure,3,http://iswc2002.semanticweb.org/posters/akahani_a4.pdf,1
"Heiner Stuckenschmidt,Frank van Harmelen and Perry Groot",Approximate Terminological reasoning for the Semantic Web,,2002,http://iswc2002.semanticweb.org/posters/stuckenschmidt.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-53,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Heiner Stuckenschmidt;Frank van Harmelen;Perry Groot,3,http://iswc2002.semanticweb.org/posters/stuckenschmidt.pdf,1
Kiril Simov and Stanislav Jordanov,BOR: A Pragmatic DAML+OIL reasoner,,2002,http://iswc2002.semanticweb.org/posters/simov-jordanov.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-51,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Kiril Simov;Stanislav Jordanov,2,http://iswc2002.semanticweb.org/posters/simov-jordanov.pdf,1
"Sean Bechhofer,Carole Goble,Les Carr and Simon Kampa",COHSE: Semantic Web Gives a Better Deal for the Whole Web?,,2002,http://iswc2002.semanticweb.org/posters/bechhofer.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-08,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Les Carr;Simon Kampa;Sean Bechhofer;Carole A. Goble,4,http://iswc2002.semanticweb.org/posters/bechhofer.pdf,1
"Schahram Dustdar,Harald Gall,Gerald Reif,Klaus Niederacher and Alexander Wahler",CONTESSA: A CONTEnt Semantic Service Agent,,2002,http://iswc2002.semanticweb.org/posters/gall.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-15,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Klaus Niederacher;Alexander Wahler;Schahram Dustdar;Gerald Reif;Harald Gall,5,http://iswc2002.semanticweb.org/posters/gall.pdf,1
Min Song and Il-Yeol Song,CS-Engine: A Cross-Search Engine for Searching Heterogeneous Multiple Databases,,2002,http://iswc2002.semanticweb.org/posters/minsong2_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-52,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Min Song;Il-Yeol Song,2,http://iswc2002.semanticweb.org/posters/minsong2_a4.pdf,1
"Rolf Gruetter,Joachim Peer and Beat F. Schmid",Challenging DAML+OIL by a Commercial Technology - What can the Semantic Web learn from it? (Preliminary Results),,2002,http://iswc2002.semanticweb.org/posters/Gruetter.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-21,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Beat F. Schmid;Joachim Peer;Rolf Gruetter,3,http://iswc2002.semanticweb.org/posters/Gruetter.pdf,1
Pablo Castells and Jose A. Macias,Context-Sensitive User Interface Support for Ontology-Based Web Applications,,2002,http://iswc2002.semanticweb.org/posters/castells-macias_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-11,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Pablo Castells;Jose A. Macias,2,http://iswc2002.semanticweb.org/posters/castells-macias_a4.pdf,1
"Eero Hyvonen,Suvi Kettula,Vilho Raatikka and Kim Viljanen",Cultural Semantic Interoperability on the Web: Case Finnish Museums Online,,2002,http://iswc2002.semanticweb.org/posters/hyvonen_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-26,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Kim Viljanen;Eero Hyvönen;Suvi Kettula;Vilho Raatikka,4,http://iswc2002.semanticweb.org/posters/hyvonen_a4.pdf,1
Sanda Mandutianu,DAML Agents for Science Data Web,,2002,http://iswc2002.semanticweb.org/posters/mandutianu2_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-38,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Sanda Mandutianu,1,http://iswc2002.semanticweb.org/posters/mandutianu2_a4.pdf,1
"Barbara Kieslinger,Bernd Simon,Gorazd Vrabic,Gustaf Neumann,Juan Quemada,Nicola Henze,Sigrun Gunnersdottir,Stefan Brantner,Tilman Kuechler,Wolf Siberski and Wolfgang Nejdl",ELENA - Creating a Smart Space for Learning,,2002,http://iswc2002.semanticweb.org/posters/bernd-simon.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-29,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Stefan Brantner;Nicola Henze;Gorazd Vrabic;Sigrun Gunnersdottir;Bernd Simon;Juan Quemada;Wolfgang Nejdl;Barbara Kieslinger;Tilman Kuechler;Gustaf Neumann;Wolf Siberski,11,http://iswc2002.semanticweb.org/posters/bernd-simon.pdf,1
"T. Kunze,J. Brase and W. Nejdl",Editing Learning Object Metadata: Schema Driven Input of RDF Metadata,,2002,http://iswc2002.semanticweb.org/posters/brase2.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-32,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Wolfgang Nejdl;J. Brase;T. Kunze,3,http://iswc2002.semanticweb.org/posters/brase2.pdf,1
Jeff Z. Pan and Ian Horrocks,Extending Datatype Support in Web Ontology Reasoning,,2002,http://iswc2002.semanticweb.org/posters/pan-horrocks_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-41,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Ian Horrocks;Jeff Z. Pan,2,http://iswc2002.semanticweb.org/posters/pan-horrocks_a4.pdf,1
"Margarita Bradley,Luis Llana,Narciso Marti-Oliet,Tomas Robles,Joaquin Salvachua and Alberto Verdejo",Giving semantics to RDF by mapping into rewriting logic,,2002,http://iswc2002.semanticweb.org/posters/verdejo.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-09,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Tomas Robles;Margarita Bradley;Narciso Marti-Oliet;Alberto Verdejo;Joaquin Salvachua;Luis Llana,6,http://iswc2002.semanticweb.org/posters/verdejo.pdf,1
"Urvi Shah,Tim Finin,Yun Peng and James Mayfield",Information Retrieval on the Semantic Web,,2002,http://iswc2002.semanticweb.org/posters/ushah_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-50,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Tim Finin;Yun Peng;James Mayfield;Urvi Shah,4,http://iswc2002.semanticweb.org/posters/ushah_a4.pdf,1
Wolfgang Hesse,Information System Concepts based on semiotics: The FRISCO Approach,,2002,http://iswc2002.semanticweb.org/posters/hesseWebPS2.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-24,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Wolfgang Hesse,1,http://iswc2002.semanticweb.org/posters/hesseWebPS2.pdf,1
Cesar Carranza and Dieter Fensel,"Integrating Metadata Standards, Ontologies and the Web Services Model for Information Mediators",,2002,http://iswc2002.semanticweb.org/posters/carranza.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-10,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Cesar Carranza;Dieter Fensel,2,http://iswc2002.semanticweb.org/posters/carranza.pdf,1
"Chris van Aart,Bob Wielinga,Wouter Jansweijer and Anjo Anjewierden",Intelligent Brokering on the Web,,2002,http://iswc2002.semanticweb.org/posters/van-aart.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-01,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Chris van Aart;Wouter Jansweijer;Bob Wielinga;Anjo Anjewierden,4,http://iswc2002.semanticweb.org/posters/van-aart.pdf,1
"Raphael Volz,Boris Motik and Alexander Maedche",KAON-Server - A Semantic Web Management System,,2002,http://iswc2002.semanticweb.org/posters/volz-KAON-SERVER.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-56,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Alexander Maedche;Raphael Volz;Boris Motik,3,http://iswc2002.semanticweb.org/posters/volz-KAON-SERVER.pdf,1
"Atanas Kiryakov,Damyan Ognyanov,Kiril Simov,Borislav Popov and Stanislav Jordanov",Knowledge Control System - The Backbone Of Ontology Middleware,,2002,http://iswc2002.semanticweb.org/posters/popov-etal.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-30,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Damyan Ognyanov;Atanas Kiryakov;Borislav Popov;Stanislav Jordanov;Kiril Simov,5,http://iswc2002.semanticweb.org/posters/popov-etal.pdf,1
"Marie-Helene Abel,Dominique Lenne and Omar Cisse",Learning Organizational Memory,,2002,http://iswc2002.semanticweb.org/posters/abel.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-02,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Marie-Helene Abel;Dominique Lenne;Omar Cisse,3,http://iswc2002.semanticweb.org/posters/abel.pdf,1
Ciaran O'Leary and Mark Humphrys,Lowering the entry level: Lessons from the Web and the Semantic Web for the World-Wide-Mind,,2002,http://iswc2002.semanticweb.org/posters/humphrys_1_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-34,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Mark Humphrys;Ciaran O'Leary,2,http://iswc2002.semanticweb.org/posters/humphrys_1_a4.pdf,1
"Fabio Ciravegna,Alexiei Dingli and Daniela Petrelli",Melita: Active Document Enrichment using Adaptive Information Extraction from Text,,2002,http://iswc2002.semanticweb.org/posters/ciravegna_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-12,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Fabio Ciravegna;Daniela Petrelli;Alexiei Dingli,3,http://iswc2002.semanticweb.org/posters/ciravegna_a4.pdf,1
Cyrus F. Nourani,Model Discovery with the TAIM and Intelligent W-Interfaces,,2002,http://iswc2002.semanticweb.org/posters/nourani_a4.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-40,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Cyrus F. Nourani,1,http://iswc2002.semanticweb.org/posters/nourani_a4.pdf,1
"Joaquin Salvachua,Gabriel Huecas,Blanca Rodriguez and Juan Quemada",Modelling a distributed multimedia conference with RDF,,2002,http://iswc2002.semanticweb.org/posters/salvachua.pdf,,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings,http://data.semanticweb.org/conference/iswc/2002/poster-proceedings/paper-46,Proceedings of ISWC 2002 Poster Track,,,Poster Paper,,0,,0,Juan Quemada;Blanca Rodriguez;Gabriel Huecas;Joaquin Salvachua,4,http://iswc2002.semanticweb.org/posters/salvachua.pdf,1
