role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,Achim Rettinger,http://data.semanticweb.org/person/achim-rettinger,http://www.aifb.kit.edu/web/Achim_Rettinger/en,0,,,,c8534f2cda2d909bbb64009ae8156d78764438db,1,Karlsruhe Institute of Technology,1
,,,,,Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://www.istc.cnr.it/createhtml.php?nbr=71,0,,,,8d7f004803b48a3b7c5e9f73dc16953069a6632d,1,ISTC-CNR;CNR Institute of Cognitive Sciences and Technology,1
,,,,,Alessandro Adamou,http://data.semanticweb.org/person/alessandro-adamou,http://stlab.istc.cnr.it/stlab/User:AlessandroAdamou,0,,,,bd7621ff59162ec62118f24a0a4e4fc2c32115a9,1,ISTC-CNR;CNR Institute of Cognitive Sciences and Technology,1
,,,,,Alexander Deleon,http://data.semanticweb.org/person/alexander-deleon,http://mayor2.dia.fi.upm.es/oeg-upm/index.php/en/masterstudents/47-alexdeleon,0,,,,2b77f881fe9235d50499b1ef3e652a9ad8ed16c5,1,Universidad Politecnica de Madrid,1
,,,,,Alexander Ulanov,http://data.semanticweb.org/person/alexander-ulanov,http://ru.linkedin.com/in/avulanov,0,,,,1dc084d57e6a435ee689224be804542e921a0a97,1,HP Labs Russia,1
,,,,,Alexandros Chortaras,http://data.semanticweb.org/person/alexandros-chortaras,http://bit.ly/aUCShm,0,,,,e53f8d6fe227f865c36d8d6b215c4b013098baa9,1,National Technical University of Athens,1
,,,,,Alistair Duke,http://data.semanticweb.org/person/alistair-duke,,0,,,,08400e14ca3a777de2721425832cba38c43fbe7a,1,BT,1
,,,,,Alun Preece,http://data.semanticweb.org/person/alun-preece,http://users.cs.cf.ac.uk/A.D.Preece/,0,,,,0c30c05401c56610765d2f4ac7ee902f74c47807,1,Cardiff University,1
,,,,,Anastasios Kementsietsidis,http://data.semanticweb.org/person/anastasios-kementsietsidis,http://bit.ly/cqTbYy,0,,,,e6563946b9127806c6a94706e6181d5ff2eafc7e,1,IBM T.J. Watson Research Center,1
,,,,,Andraz Tori,http://data.semanticweb.org/person/andraz-tori,http://www.zemanta.com/about/#management-team,0,,,,,0,Zemanta,1
,,,,,Andrea Nuzzolese,http://data.semanticweb.org/person/andrea-nuzzolese,http://stlab.istc.cnr.it/stlab/User:AndreaNuzzolese,0,,,,87707a356b60f036a079c5268236791fbab9f85e,1,ISTC-CNR;CNR Institute of Cognitive Sciences and Technology,1
,,,,,Andreas Hotho,http://data.semanticweb.org/person/andreas-hotho,http://www.kde.cs.uni-kassel.de/hotho,0,,,,618346f249ba96ff62d1a2765d7badc4282125ad,1,University of Wurzburg,1
,,,,,Andres Garcia-Silva,http://data.semanticweb.org/person/andres-garcia-silva,http://mayor2.dia.fi.upm.es/index.php/en/phdstudents/38-hGarcia,0,,,,e030312ca341a25150376469d014db3135b2c92f,1,Universidad Politecnica de Madrid,1
,,,,,Andrey Simanovsky,http://data.semanticweb.org/person/andrey-simanovsky,http://www.informatik.uni-trier.de/~ley/db/indices/a-tree/s/Simanovsky:Andrey.html,0,,,,44c1ebb181697ab1df5dc4add64eb3f2f25826dd,1,St Petersburg State University,1
,,,,,Andriy Nikolov,http://data.semanticweb.org/person/andriy-nikolov,http://people.kmi.open.ac.uk/andriy/,0,,,,f711448173546302efd026ff3b508fd8e50f1927,1,The Open University,1
,,,,,Andy Seaborne,http://data.semanticweb.org/person/andy-seaborne,http://www.hpl.hp.com/people/andy_seaborne/,0,,,,d84b2e439ae33d719820f02e60a47ed39ad98e67,1,HP Labs Bristol,1
