role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Demonstration Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jeff Heflin,http://data.semanticweb.org/person/jeff-heflin,http://www.cse.lehigh.edu/~heflin/,,,1d8b1638f1c01384c2d034bb1853ecbe8952a4aa,1,Lehigh University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Finance Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jérôme Euzenat,http://data.semanticweb.org/person/jerome-euzenat,http://www.inrialpes.fr/exmo/people/euzenat/,,,9a5ee047a26b4e42a17b2f544444c0c0acea69fa,1,INRIA,1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Dieter Fensel,http://data.semanticweb.org/person/dieter-fensel,http://informatik.uibk.ac.at/users/c70385/,,,8dc3afb2524997d49c233d285e562a5597174c35,1,University of Innsbruck,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industrial Track Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Christoph Bussler,http://data.semanticweb.org/person/christoph-bussler,http://hometown.aol.com/chbussler,,,105804e0e60ce946442679ea38dafac0ed018312,1,Oracle,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Local Arrangements Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jeff Bradshaw,http://data.semanticweb.org/person/jeff-bradshaw,http://www.ihmc.us/users/user.php?UserID=30,,,b1c712bffc02cb723c0a3946bbef97cdd98f15f3,1,University of West Florida,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Steffen Staab,http://data.semanticweb.org/person/steffen-staab,http://www.aifb.uni-karlsruhe.de/WBS/sst/,,,e0c42fda1010609b9ccab83669f8631ba07648de,1,"AIFB, University of KArlsruhe;Karlsruhe Institute of Technology",2
http://data.semanticweb.org/ns/swc/ontology#Chair,Poster Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Raphael Malyankar,http://data.semanticweb.org/person/raphael-malyankar,,,,4a119a6bf358f6a395f4e92cdcb781ef60226d86,1,Arizona State University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chairs,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,John Mylopoulos,http://data.semanticweb.org/person/john-mylopoulos,http://www.cs.toronto.edu/DCS/People/Faculty/jm.html,,,6ac88c6fb4d4ec3389c97c1cb31e28d7e606bd78,1,University of Toronto,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Program Chairs,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Katia Sycara,http://data.semanticweb.org/person/katia-sycara,http://www-2.cs.cmu.edu/~sycara/,,,80b0eee12d87ac02b057b13569fcf242afd72c8d,1,Carnegie Mellon University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Publicity Chair,http://data.semanticweb.org/conference/iswc/2003,The Second International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Mike Dean,http://data.semanticweb.org/person/mike-dean,http://www.daml.org/people/mdean/,,,6006a914f7d645142fadf08d9a4e33aee98416d0,1,BBN,1
