event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Publicity Chair at ISWC 2009,Todd Schneider,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Semantic Web in Use Chair at ISWC 2009,"Tom Heath,Lee Feigenbaum",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Semantic Web in Use Chair at ISWC 2009,"Tom Heath,Lee Feigenbaum",,,,,,,,
http://data.semanticweb.org/workshop/ck/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,"Collaborative Construction, Management and Linking of Structured Knowledge",,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/tracks/research,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,ISWC2009 Research Track,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/living/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Living Web: Making Web Diversity a true asset,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/iwod/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Ontology Dynamics,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/om/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Ontology Matching,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/wop/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Ontology Patterns,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/swpm/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Role of Semantic Web in Provenance Management,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/ssws/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Scalable Semantic Web Knowledge Base Systems,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/ssn/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Semantic Sensor Networks,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/swasw/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Semantic Web Applications in Scientific Discourse,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/swese/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Semantic Web Enabled Software Engineering,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/semrus/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Semantics for the Rest of Us,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/smr2/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Service Matchmaking and Resource Retrieval in the Semantic Web,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/swui/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Sharing Ideas for Complex Problems in User Interaction,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/sdow/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Social Data on the Web,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/terra_cognita/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Terra Cognita,,,,,,,,,,,,,,,,
http://data.semanticweb.org/workshop/ursw/2009,http://data.semanticweb.org/conference/iswc/2009,,http://data.semanticweb.org/ns/swc/ontology#WorkshopEvent,Uncertainty Reasoning for the Semantic Web,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/160,http://data.semanticweb.org/conference/iswc/2009/sessions/research/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Analysis of a Real Online Social Network using Semantic Web Frameworks,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/335,http://data.semanticweb.org/conference/iswc/2009/sessions/research/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Multi Visualisation and Dynamic Query for Effective Exploration of Semantic Data,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/375,http://data.semanticweb.org/conference/iswc/2009/sessions/research/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Policy Aware Content Reuse on the Web,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/137,http://data.semanticweb.org/conference/iswc/2009/sessions/research/1,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Social Trust Based Web Service Composition,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/286,http://data.semanticweb.org/conference/iswc/2009/sessions/research/10,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Generic Approach for Large-Scale Ontological Reasoning in the Presence of Access Restrictions to ...,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/370,http://data.semanticweb.org/conference/iswc/2009/sessions/research/10,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Weighted Approach for Partial Matching in Mobile Reasoning,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/165,http://data.semanticweb.org/conference/iswc/2009/sessions/research/10,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Coloring RDF Triples to Capture Provenance,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/423,http://data.semanticweb.org/conference/iswc/2009/sessions/research/10,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Concept and Role Forgetting in ALC Ontologies,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/106,http://data.semanticweb.org/conference/iswc/2009/sessions/research/10,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Exploiting Partial Information in Taxonomy Construction,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/290,http://data.semanticweb.org/conference/iswc/2009/sessions/research/11,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,DOGMA: A Disk-Oriented Graph Matching Algorithm for RDF Databases,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/125,http://data.semanticweb.org/conference/iswc/2009/sessions/research/11,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Dynamic Querying of Mass-Storage RDF Data with Rule-Based Entailment Regimes,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/136,http://data.semanticweb.org/conference/iswc/2009/sessions/research/11,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Efficient Query Answering for OWL 2,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/174,http://data.semanticweb.org/conference/iswc/2009/sessions/research/12,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Context and Domain Knowledge Enhanced Entity Spotting in Informal Text,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/306,http://data.semanticweb.org/conference/iswc/2009/sessions/research/12,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Discovering and Maintaining Links on the Web of Data,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/501,http://data.semanticweb.org/conference/iswc/2009/sessions/research/12,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Learning Semantic Query Suggestions,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/253,http://data.semanticweb.org/conference/iswc/2009/sessions/research/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Decomposition-based Approach to Optimizing Conjunctive Query Answering in OWL DL,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/241,http://data.semanticweb.org/conference/iswc/2009/sessions/research/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Parallel Materialization of the Finite RDFS Closure for Hundreds of Millions of Triples,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/374,http://data.semanticweb.org/conference/iswc/2009/sessions/research/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Scalable Distributed Reasoning using MapReduce,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/361,http://data.semanticweb.org/conference/iswc/2009/sessions/research/2,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards Lightweight and Robust Large Scale Emergent Knowledge Processing,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/217,http://data.semanticweb.org/conference/iswc/2009/sessions/research/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Graph-Based Ontology Construction from Heterogenous Evidences,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/161,http://data.semanticweb.org/conference/iswc/2009/sessions/research/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,On Detecting High-Level Changes in RDF/S KBs,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009/talks/research/405,http://data.semanticweb.org/conference/iswc/2009/sessions/research/3,,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,OntoCase - Automatic Ontology Enrichment Based on Ontology Design Patterns,,,,,,,,,,,,,,,,
