role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Lora Aroyo,http://data.semanticweb.org/person/lora-aroyo,http://www.cs.vu.nl/~laroyo/,,,,0,Vrije Universiteit,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Natasha Noy,http://data.semanticweb.org/person/natasha-noy,http://www.stanford.edu/~natalya/,,,,0,Stanford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Evaluation Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Chris Biemann,http://data.semanticweb.org/person/chris-biemann,http://www.ukp.tu-darmstadt.de/people/group-heads/prof-dr-chris-biemann/,,,,0,Technische Universität Darmstadt,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Evaluation Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Josiane Xavier Parreira,http://data.semanticweb.org/person/josiane-xavier-parreira,http://www.deri.ie/users/josiane-xavier-parreira,,,,0,"DERI, Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Chris Welty,http://data.semanticweb.org/person/chris-welty,http://researcher.watson.ibm.com/researcher/view.php?person=us-welty,,,,0,IBM Research,1
http://data.semanticweb.org/ns/swc/ontology#Chair,In-Use Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://researcher.watson.ibm.com/researcher/view.php?person=us-achille,,,,0,IBM Research;IBM Thomas J. Watson Research Center,2
http://data.semanticweb.org/ns/swc/ontology#Chair,In-Use Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Paul Groth,http://data.semanticweb.org/person/paul-groth,http://www.few.vu.nl/~pgroth,,,9fef9efae9dd7807a8637669cca7452edd5675fb,1,Vrije Universiteit,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Eric Franzon,http://data.semanticweb.org/person/eric-franzon,http://semanticweb.com/tag/eric-franzon,,,,0,WebMediaBrands,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Glenn Wightwick,http://data.semanticweb.org/person/glenn-wightwick,http://researcher.watson.ibm.com/researcher/view.php?person=au1-glenn_wightwick,,,,0,IBM Research,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair,http://data.semanticweb.org/conference/iswc/2013,The 12th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Mary-Anne Williams,http://data.semanticweb.org/person/mary-anne-williams,http://research.it.uts.edu.au/magic/Mary-Anne/,,,,0,"University of Technology, Sydney",1
