event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
[ME],[ISWC],,ConferenceEvent,"The First International Semantic Web Conference",20020609T090000,20020612T183000,Europe/Rome,,"Sardinia, Italy",,,,,ISWC2002,,http://iswc2002.semanticweb.org/,,http://iswc2002.semanticweb.org/sardinia.jpg,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/track/main,[ME],,TrackEvent,"Main Track",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
[ME]/track/tutorial,[ME],,TrackEvent,"Tutorial Track",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
[ME]/track/poster,[ME],,TrackEvent,"Poster Track",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/tutorial-1,[ME]/track/tutorial,,TutorialEvent,"Ontologies: Representation, Engineering, Learning and Applications",20020609T090000,20020609T120000,Europe/Rome,,,,,Organizer,"Alexander Maedche, Steffen Staab",,,http://events.aifb.uni-karlsruhe.de/ontologytutorial/iswc2002/,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/tutorials.html,EOL
[ME]/tutorial-2,[ME]/track/tutorial,,TutorialEvent,"Description Logics for Conceptual Design, Information Access, and Ontology Integration: Research Trends",20020609T140000,20020609T170000,Europe/Rome,,,,,Organizer,"Enrico Franconi",,,http://www.cs.man.ac.uk/~franconi/dl/course/tutorial/,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/tutorials.html,EOL
[ME]/tutorial-3,[ME]/track/tutorial,,TutorialEvent,"Semantic web services",20020609T090000,20020609T170000,Europe/Rome,,,,,Organizer,"Christoph Bussler, Dieter Fensel, Terry Payne, Katia Sycara",,,http://www.daml.ri.cmu.edu/tutorial/iswc-t3.html,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/tutorials.html,EOL
[ME]/tutorial-4,[ME]/track/tutorial,,TutorialEvent,"Jena Tutorial",20020609T090000,20020609T120000,Europe/Rome,,,,,Organizer,"Jeremy Carroll, Brian McBride, Andy Seaborne",,,http://www.hpl.hp.com/semweb/iswc2002/cfp.html#more-info,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/tutorials.html,EOL
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,"Opening ceremony",20020610T090000,20020610T091500,Europe/Rome,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
[ME]/talk/invited-1,[ME],,InvitedTalkEvent,"The Grid, Grid Services and the Semantic Web: Technologies and Opportunities",20020610T091500,20020610T101500,Europe/Rome,,,"Session Chair","Carole Goble",Speaker,"Carl Kesselman",,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
,,,BreakEvent,"Coffee break",20020610T101500,20020610T104500,Europe/Rome,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
[ME]/session-01,[ME]/track/main,,SessionEvent,"Infrastructure I",20020610T104500,20020610T123000,Europe/Rome,,,"Session Chair","Peter Patel-Schneider",,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
,,,BreakEvent,Lunch,20020610T123000,20020610T143000,Europe/Rome,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/program.html,EOL
