name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
"DAML: DARPA Agent Markup Language Program",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/logo-daml.jpg,http://www.daml.org/,"The World Wide Web (WWW) contains a large amount information which is expanding at a rapid rate. Most of that information is currently being represented using the Hypertext Markup Language (HTML), which is designed to allow web developers to display information in a way that is accessible to humans for viewing via web browsers. While HTML allows us to visualize the information on the web, it doesn't provide much capability to describe the information in ways that facilitate the use of software programs to find or interpret it. The World Wide Web Consortium (W3C) has developed the Extensible Markup Language (XML) which allows information to be more accurately described using tags. As an example, the word Algol on a web site might represent a computer language, a star or an oceanographic research ship. The use of XML to provide metadata markup, such as Algol, makes the meaning of the work unambiguous. However, XML has a limited capability to describe the relationships (schemas or ontologies) with respect to objects. The use of ontologies provides a very powerful way to describe objects and their relationships to other objects. The DAML language is being developed as an extension to XML and the Resource Description Framework (RDF). The latest release of the language (DAML+OIL) provides a rich set of constructs with which to create ontologies and to markup information so that it is machine readable and understandable.",[ME],swc:Sponsor,"Organizing Institution",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"OntoWeb: Ontology-based information exchange for knowledge management and electronic commerce",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/ontoweb1a.jpg,http://www.ontoweb.org/,"Currently computers are changing from single isolated devices into entry points into a worldwide network of information exchange and business transactions. Support in data, information, and knowledge exchange is becoming the key issue in current computer technology. Ontologies will play a major role in supporting information exchange processes in various areas. They will enable the semantic web which provides on-line access to large volumes of information and knowledge based on machine-processable semantics of data.  In consequence, there is a large interest in these topics from various sites. Different research communities develop their subject into this direction; many commercial agents encounter the economical potential of the topic and many funding agencies are willing to provide significant support for its development. Still the different communities are scattered and have not yet found enough interactions to fully employ the potential of this new technology. It is the delighted goal of the OntoWeb network to bypass communication bottlenecks between these various and heterogeneous interest groups. Ontoweb set up a homepage, a mailing list, and organizes a European workshop coordinating projects proposals for the next open calls of the European Union IST funding. Ontoweb is a thematic network of the European Union IST programme. More details can be found here: http://www.ontoweb.org",[ME],swc:Sponsor,"Organizing Institution",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
NetworkInference,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/netinf.jpg,http://www.networkinference.com/,"Network Inference addresses a serious discontinuity that enterprises are about to face in their technology roadmap. Existing 'Relational Database Management Systems' (RDBMS) and XML-based solutions are not able to represent semantic data, and as a result, the demand for efficient, complex data structures capable of storing, querying and communicating semantic data is set to grow. Network Inference's advanced Description Logic products, together with associated standards being developed by the World Wide Web Consortium (W3C), will allow enterprise and web based information and services to be machine interpretable and use-apparent. This will enable the full promise of Web Services, e-commerce and distributed information retrieval to be realised. Our family of products - Cerebra¨ - will reduce the cost involved in the development and maintenance of complex data driven applications, significantly reducing their processing overhead and vastly expanding their representational power. Network Inference is creating software products and promoting the development of web standards that, together, will power the advance of machine understanding and reduce the level of human processing involved in web-based applications. As the proliferation of content continues, the burden on human processing on the web is becoming prohibitive. As corporate systems look to exploit the WWW more fully there is a growing need to facilitate interaction and interoperability between applications. XML is a step in the right direction, but only a small step. Armed with the capacity for complex, machine understandable representations that Network Inference will introduce, corporate systems will progress beyond the simple structures of the relational database, allowing them to understand enough to relieve the burden on human processing. Our vision is shared by the World Wide Web Consortium (W3C). Their Semantic Web Activity is seeking to develop common standards, above XML, for the interchange of semantic data (an ontology language). The technology and personnel of Network Inference are at the core of the W3C and its Semantic Web activity.",[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"On To Knowkledge",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/logo-otk.jpg,http://www.ontoknowledge.org,"Efficient knowledge management has been identified as key to maintaining the competiveness of organisations. Ontologies have been developed in the knowledge engineering discipline as a means to share and reuse knowledge. The On-To-Knowledge project will develop methods and tools and employ the full power of the ontological approach to facilitate knowledge management. The On-To-Knowledge tools will help knowledge workers who are not IT specialists to access company-wide information repositories in an effcient, natural and intuitive way. Ontologies provide a shared and common understanding of a domain that can be communicated across people and application systems. Therefore, they will play a major role in supporting information exchange processes in various areas. However, a prerequisite for such a role is the development of a joint standard for specifying and exchanging ontologies. The Ontology Inference Layer OIL is a proposal for such a standard.",[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"iBrow: An Intelligent Brokering Service for Knowledge-Component Reuse on the World-Wide Web",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/ibrow-sml.jpg,http://www.swi.psy.uva.nl/projects/ibrow/home.html,"The objective of IBROW is to develop intelligent brokers that are able to distributively configure reusable components into knowledge systems through the World-Wide Web. The WWW is changing the nature of software development to a distributive plug & play process, which requires a new kind of managing software: intelligent software brokers. IBROW will integrate research on heterogeneous DB, interoperability and Web technology with knowledge-system technology and ontologies.",[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
Ontoprise,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/ontoprise.gif,http://www.ontoprise.de/,"The World Wide Web is proliferating and growing at a tremendous pace. At the same time, however, it is becoming more and more of a jungle to everyday users. They are asking for immediate help. In the Semantic Web, core pieces of information are turned into golden coins of knowledge. This knowledge comes with a context that helps users to find their way through it. In cooperation with universities and the World Wide Web Consortium (W3C) we come up with new solutions for representing knowledge on the Web. This development will help us to achieve Web content by previously inaccessible means. We are looking forward to finding the future Web landscape presented according to our vision. An environment that understands our language, that supports our objectives, and our way of reaching those objectives. Collections of applications and tools that create flexible workplaces. A medium that can readily be integrated into personal knowledge landscapes. A platform that allows for the easy exchange of ideas. The Semantic Web will be this platform.The global semantic network represents the decisive step from information technology to knowledge technology. The Semantic Web will improve existing functionality and will change the way we think about the most valuable currency: Knowledge.",[ME],swc:Sponsor,"Gold Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"INTAP: Interoperability Technology Association for Information Processing",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/INTAP-logo.jpg,http://www.net.intap.or.jp/INTAP/,"INTAP was established on December 18, 1985, based on the provisions of Article 34 of Japan's Civil Law Act, approved by the then Ministry of International Trade and Industry (currently Ministry of Economy, Trade, and Industry). INTAP conducts and promotes R&D, surveys, and publicity activities for promoting interoperability of information processing technologies. By means of those activities, the Association seeks to promote and stimulate the progress of information processing and related technologies, which should contribute to the formation of a healthy information society as well as to further progress of Japanese industry and economy and to the nation's internationalization.",[ME],swc:Sponsor,"Gold Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"France Telecom R&D",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/logo_ft.gif,http://www.rd.francetelecom.fr,"France Telecom is one of the world's leading telecommunications carriers, with over 91 million customers on the five continents (220 countries and territories). This puts us in a good position to know that no two markets are identical. And that listening to the particular needs of our clients, and adapting to the differing constraints and opportunities of each project we undertake for them is crucial. Which is why France Telecom is uniquely organized to be as flexible and reactive as possible. So as to share its expertise with customers, business clients and partners, to advance their projects and - just maybe - make worldwide communications a little better. Europe's leading telecommunications R&D center, France Telecom R&D contributes to creating value for the Group. Its transversal, decentralized structure facilitates coordination between France Telecom's market strategy and the products developed.",[ME],swc:Sponsor,"Gold Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
"WonderWeb: Ontology Infrastructure for the Semantic Web",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/logo-wonder.gif,http://wonderweb.semanticweb.org,"We are on the brink of a new generation of World Wide Web (WWW) which, in his recent book Weaving the Web, Tim Berners-Lee calls the Semantic Web. Unlike the existing WWW, where data is primarily intended for human consumption, the Semantic Web will provide data that is also machine processable. This will enable a wide range of intelligent services such as information brokers, search agents, information filters etc., a process that Berners-Lee describes as ""Bringing the Web to its full potential"". The development of ontologies will be central to this effort. Ontologies are meta data, providing a controlled vocabulary of terms, each with an explicitly defined and machine processable semantics. By defining shared and common domain theories, ontologies help both people and machines to communicate more effectively. They will therefore have a crucial role in enabling content-based access, interoperability and communication across the Web, providing it with a qualitatively new level of service: the Semantic Web. The importance of ontologies to the Semantic Web has prompted the development of schema extensions to existing Web standard languages: XML has been extended to give XML-Schema (XMLS), while RDF has been extended to give RDF-Schema (RDFS). However, the language primitives provided by these standards are extremely basic when compared with those typically provided by ontology languages developed within the Knowledge Representation (KR) community, and efforts are already underway to develop ontology extensions of these standards. The aim of the project is to develop the infrastructure required for the large-scale deployment of ontologies as the foundation for the Semantic Web. This will involve not only the establishment of a Web standard ontology language, but also the parallel development of the ontological engineering technology that will be required in order to ""bring the web to its full potential"".",[ME],swc:Sponsor,"Gold Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
CognIT,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/logos/cognit.jpg,http://www.cognit.com/,"CognIT was founded in 1996 and is based in Halden, Norway. We offer products and services related to knowledge management and information services. The company co-operates closely with international research and development and is constantly pushing state-of-the-art in different areas of computing. We have developed an outstanding record of large scale systems development, ranging from intelligent back-office systems to agent based text analysis and search tools. CognIT's motto is ""Serving the Knowledge Company"". We believe that tomorrow's companies must rely on their knowledge and ability to act quickly in order to survive. Their competitive edge lies in the ability to transform data into knowledge and action. We have the technical expertise to make this happen for you. The intelligent company is the adaptable company - the company that is smart enough to avoid threats in due time and to grasp whatever opportunity that arises. This requires tools and people that can support continuous learning and rapid change. CognIT holds the key to this. We have an impressive track record of developing adaptable software that can be configured and customised in accordance with changing operational requirements. Our intelligent systems are able to fuse knowledge from all the individual employees in your department or company. We work with methods of formalising and sharing experience and knowledge. We are well positioned to help clients shape their organisation into an integrated intellectual body, not merely a group of individuals with a computer. CognIT's exclusive Mímír technology enables efficient knowledge management solutions based on text interpretation and content-based document management. This is the basis for our business intelligence products, which facilitate searches on the Internet and in large Intranets.",[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/ISWC-2002/sponsors.html,EOL
