name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
"National Science Foundation",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/report/figures/nsf01a.gif,http://www.nsf.gov/,,[ME],swc:Sponsor,"Organizing Institution",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
DAML,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/HotDAML_Medium.jpg,http://www.daml.org/,,[ME],swc:Sponsor,"Organizing Institution",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
"Ontoweb Network",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/ontoweb1a.jpg,http://www.ontoweb.org/,,[ME],swc:Sponsor,"Organizing Institution",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
VerticalNet,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/verticalnet.gif,http://www.verticalnet.com/,,[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
NOKIA,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/nokia1a.gif,http://www.nokia.com/,,[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
SpiritSoft,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/spiritsoft.gif,http://www.spirit-soft.com/,,[ME],swc:Sponsor,"Platinum Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
ENIGMATEC,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/enigmateclogo1a.gif,http://www.enigmatec.net/,,[ME],swc:Sponsor,"Gold Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
Empolis,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/empolisweb.jpg,http://www.empolis.com/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
Connotate,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/connotate_web.jpg,http://www.connotate.com/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
Mondeca,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/mondeca_web.jpg,http://www.mondeca.com/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
"Language and Computing",,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/landc.jpg,http://www.landc.be/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
SC4,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/sc4_web.jpg,http://www.sc4.org/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
NetworkInference,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/netinf1a.jpg,http://www.networkinference.com/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
Ontoprise,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/ontoprise1a.jpg,http://www.ontoprise.de/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
INRIA,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/logos/inria1a.gif,http://www.inria.fr/,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
LastMileServices,,,,,,[ME],swc:Sponsor,"Sliver Sponsor",https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
