event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
[ME],[ISWC],,ConferenceEvent,"The First Semantic Web Working Symposium",20010730T080000,20010801T120000,America/Los_Angeles,,"Stanford University, California, USA",,,,,SWWS2001,,http://www.semanticweb.org/SWWS/,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/stanford.jpg,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/track/work1,[ME],,TrackEvent,"Working Track 1: Ontology and Ontology Maintenance",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
[ME]/track/work2,[ME],,TrackEvent,"Working Track 2: Interoperability, Integration, Composition",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
[ME]/track/work3,[ME],,TrackEvent,"Working Track 3: (Web-) Services and Applications",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
[ME]/track/tutorial,[ME],,TrackEvent,"Tutorial Track",,,,,,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
,,,,,,,,,,,,,,,,,,,,
,[ME],,SpecialEvent,"SWWS Registration and Breakfast",20010730T080000,20010730T090000,America/Los_Angeles,"TCSEQ Center",,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
,[ME],,SpecialEvent,"Welcome (Organizers and Jim Hendler)",20010730T090000,20010730T093000,America/Los_Angeles,"Room TCSEQ 200",,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
[ME]/talk/invited-1,[ME],,InvitedTalkEvent,"The W3C Semantic Web Activity",20010730T093000,20010730T103000,America/Los_Angeles,"Room TCSEQ 200",,,,Speaker,"Eric Miller",,,http://www.w3.org/Talks/2001/07/30-swws/,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
,[ME],,BreakEvent,"Coffee Break",20010730T103000,20010730T110000,America/Los_Angeles,"The TCSEQ Center",,,,,,,,,,,https://files.ifi.uzh.ch/ddis/iswc_archive/iswc/ih/SWWS-2001/program/index.html,EOL
