name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
"SEKT project",,,http://iswc2004.semanticweb.org/logo/sekt.gif,http://sekt.semanticweb.org/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
AOARD,,,http://iswc2004.semanticweb.org/logo/Logo_AOARD-Color.gif,http://www.tokyo.afosr.af.mil/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
ARO-FE,,,http://iswc2004.semanticweb.org/logo/arofe_logo.gif,http://www.arofe.army.mil/AROindex.htm,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
Hitachi,,,http://iswc2004.semanticweb.org/logo/hitachi.gif,http://www.hitachi.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
Toshiba,,,http://iswc2004.semanticweb.org/logo/toshiba.gif,http://www.toshiba.co.jp/index.htm,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
"France telecom R&D",,,http://iswc2004.semanticweb.org/logo/FTr.png,http://www.rd.francetelecom.fr/index.htm.en.php,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
NOKIA,,,http://iswc2004.semanticweb.org/logo/nokia_logo.gif,http://www.nokia.com/research/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
openRDF.org,,,http://iswc2004.semanticweb.org/logo/openrdf.png,http://www.openrdf.org/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
NetworkInference,,,http://iswc2004.semanticweb.org/logo/NetworkInference.jpg,http://www.networkinference.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
Ontotext,,,http://iswc2004.semanticweb.org/logo/ontotext_logo.png,http://www.ontotext.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2004.semanticweb.org/,EOL
Semagix,,,http://iswc2004.semanticweb.org/logo/semagix_logo_120.gif,http://www.semagix.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
DERI,,,http://iswc2004.semanticweb.org/logo/deri.jpg,http://www.deri.ie/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"SWAP project",,,http://iswc2004.semanticweb.org/logo/swap-logo-transparent.gif,http://swap.semanticweb.org/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"AKT project",,,http://iswc2004.semanticweb.org/logo/AKT-300Pixels.jpg,http://www.aktors.org/akt/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
KnowledgeWeb,,,http://iswc2004.semanticweb.org/logo/kw1.jpg,http://knowledgeweb.semanticweb.org/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
NEC,,,http://iswc2004.semanticweb.org/logo/nec.jpg,http://www.necst.co.jp/english/index.htm,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"Knowledge Synergy",,,http://iswc2004.semanticweb.org/logo/knowledge-synergy-logo2.png,http://www.knowledge-synergy.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
Ontopia,,,http://iswc2004.semanticweb.org/logo/ontopia.gif,http://www.ontopia.net/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
Gakken,,,http://iswc2004.semanticweb.org/logo/Gakken-logo.bmp,http://www.gakken.co.jp/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"Nihon Unisys,Ltd.",,,http://iswc2004.semanticweb.org/logo/unisys.gif,http://www.unisys.co.jp/welcome-e.html,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"Justsystem Corporation",,,http://iswc2004.semanticweb.org/logo/jsrom.bmp,http://www.justsystem.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
Fujitsu,,,http://iswc2004.semanticweb.org/logo/smwbr.gif,http://www.fujitsu.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
"Galaxy Express",,,http://iswc2004.semanticweb.org/logo/GX.jpg,,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2004.semanticweb.org/,EOL
