name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
Elsevier,,,http://iswc2012.semanticweb.org/sites/default/files/Elsevierlogo120.gif,http://www.elsevier.com/wps/find/homepage.cws_home,,[ME],swc:Sponsor,"Platinum Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
"Aritificial Intelligence Journal",,,http://www.ida.liu.se/ext/aijd/top/fundings/ARTINT_Logo2_c_web_more.jpg,http://www.ida.liu.se/ext/aijd/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
"fluid operations",,,http://iswc2011.semanticweb.org/uploads/RTEmagicC_fluidops.png.png,http://www.fluidops.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
Ontotext,,,http://iswc2012.semanticweb.org/sites/default/files/ONTOTEXT_logo.png,http://www.ontotext.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
Oracle,,,http://iswc2012.semanticweb.org/sites/default/files/O_signature_clr.gif,http://www.oracle.com/technetwork/database/options/semantic-tech/index.html,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
Systap,,,http://iswc2012.semanticweb.org/sites/default/files/systap_117.png,http://www.systap.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
"Yahoo! Research",,,http://iswc2011.semanticweb.org/fileadmin/iswc/img/sponsors/Yahoo.jpg,http://research.yahoo.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
IBM,,,http://iswc2012.semanticweb.org/sites/default/files/IBM.png,http://www.ibm.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
"Pitney Bowes",,,http://upload.wikimedia.org/wikipedia/en/0/01/Pitney_Bowes_logo.png,http://www.pb.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
Render,,,http://iswc2012.semanticweb.org/sites/default/files/render-logo.png,http://render-project.eu/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
"University of Zurich",,,http://iswc2012.semanticweb.org/sites/default/files/uzh_logo_e_pos_web_main_0.jpg,http://www.ifi.uzh.ch/ddis/,,[ME],swc:Sponsor,"Web Sponsor",http://iswc2012.semanticweb.org/sponsorship.html,EOL
SWSA,,,http://iswc2012.semanticweb.org/sites/default/files/SWSA_new_logo.png,http://swsa.semanticweb.org/,,[ME],swc:Sponsor,Organizer,http://iswc2012.semanticweb.org/sponsorship.html,EOL
W3C,,,http://iswc2012.semanticweb.org/sites/default/files/w3c-logo.png,http://www.w3.org/,,[ME],swc:Sponsor,Supporter,http://iswc2012.semanticweb.org/sponsorship.html,EOL
