name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
"IDA IRELAND",,,http://iswc2005.semanticweb.org/images/IDA_logo150.jpg,http://www.idaireland.com/home/index.aspx?id=3,,[ME],swc:Sponsor,"Super Emerald Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"ENTERPRISE IRELAND",,,http://iswc2005.semanticweb.org/images/EI_logo200.jpg,http://www.enterprise-ireland.com/,,[ME],swc:Sponsor,"Super Emerald Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
Siderean,,,http://iswc2005.semanticweb.org/images/Siderean_Logo180.jpg,http://www.siderean.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"SEKT project",,,http://iswc2005.semanticweb.org/images/SEKTlogo160.jpg,http://www.sekt-project.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"Storm Technology",,,http://iswc2005.semanticweb.org/images/Stormlogogo.jpg,http://www.storm.ie/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
DIP,,,http://iswc2005.semanticweb.org/images/diplogo_132.jpg,http://dip.semanticweb.org/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
Ontotext,,,http://iswc2005.semanticweb.org/images/ontotext_logo_w175.png,http://www.ontotext.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
KnowledgeWeb,,,http://iswc2005.semanticweb.org/images/KnowledgeWebLogo_155.jpg,http://knowledgeweb.semanticweb.org/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"AKT project",,,http://iswc2005.semanticweb.org/images/AKT_logo100.jpg,http://www.aktors.org/akt/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"France telecom R&D",,,http://iswc2005.semanticweb.org/images/FranceTelecom_Logo100.gif,http://www.francetelecom.com/fr/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
iSoco,,,http://iswc2005.semanticweb.org/images/ISOCO_logo110.jpg,http://www.isoco.com/index.html,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
NOKIA,,,http://iswc2005.semanticweb.org/images/logo_nokia.gif,"http://www.nokia.com/nokia/0,8764,64,00.html",,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
Ontoprise,,,http://iswc2005.semanticweb.org/images/Ontoprise_Logo100.jpg,http://www.ontoprise.de/content/index_eng.html,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
TopQuadrant,,,http://iswc2005.semanticweb.org/images/TopQuadrantLogo120.jpg,http://www.topquadrant.com/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
AgentLink,,,http://iswc2005.semanticweb.org/images/AgentLinklogoblue100.jpg,http://www.agentlink.org/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
NIWA,,,http://iswc2005.semanticweb.org/images/niwa_logo_160.jpg,http://www.niwa.at/,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
"Journal of Web Semantics",,,http://iswc2005.semanticweb.org/images/JournalOfWebSem_150.jpg,http://www.elsevier.com/wps/find/journaldescription.cws_home/671322/description?navopenmenu=-2,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
OASIS,,,http://iswc2005.semanticweb.org/images/oasis_logo_160.jpg,http://www.oasis-open.org/home/index.php,,[ME],swc:Sponsor,"Sliver Sponsor",http://iswc2005.semanticweb.org/Psponsorship.html,EOL
