event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,acronym,abstract,homepage,link_document,logo,source,EOL
[ME],[ISWC],,ConferenceEvent,"The Third International Semantic Web Conference",20041107T080000,20041111T171500,Asia/Tokyo,,"Hiroshima,Japan",,,,,ISWC2004,,http://iswc2004.semanticweb.org/,,http://iswc2004.semanticweb.org/pic/Hotel.jpg,http://iswc2004.semanticweb.org/,EOL
,,,,,,,,,,,,,,,,,,,,
[ME]/track/research,[ME],,TrackEvent,"Research Track",,,,,,,,,,,,,,,,EOL
[ME]/track/industrial,[ME],,TrackEvent,"Industrial Track",,,,,,,,,,,,,,,,EOL
[ME]/track/tutorial,[ME],,TrackEvent,"Tutorial Track",,,,,,,,,,,,,,,,EOL
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,20041107T080000,20041107T170000,Asia/Tokyo,,,,,,,,,,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,BreakEvent,"Coffee Break",20041107T103000,20041107T113000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,BreakEvent,Lunch,20041107T120000,20041107T140000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,,
,,,BreakEvent,"Tea Break",20041107T150000,20041107T160000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,,
[ME]/tutorial-1,[ME]/track/tutorial,,TutorialEvent,"T1: XQuery: the query language, its applications and its implementations",20041107T083000,20041107T123000,Asia/Tokyo,"Room 8",,Organizer,"Daniela Florescu, Donald Kossman",,,,"XML is a versatile markup language, capable of labeling information contentfromof diverse information sources including structured and semi-structured documents, relational databases, and object repositories. XQuery is a declarative query language that uses the structure of XML intelligently. It can express queries across all these kinds of data, whether physically stored in XML or viewed as XML via middleware and it is designed to be broadly applicable across many types of XML data sources, independently of their original format or location. XQuery is currently under standardization as part of the World Wide Web Consortium and already adopted by industry, research and open source communities alike. Given that it is likely that large amounts of information will be represented in near future using XML, XQuery will play a fundamental role for data search, integration and aggregation; it will be the basic building block for such activities. XQuery is currently and will be in the future used in a variety of different environments. Examples to date include XML database systems, XML document repositories, XML data integration on the Web and within single economical structures, workflow systems, and publish and subscribe systems. In addition, XPath of which XQuery is a superset is used in various products such as Web browsers. Although the W3C XQuery specification has not yet attained recommendation status, and the definition of the language has not entirely stabilized, a number of alternative proposals to implement and optimize XQuery have appeared both in industry and in the research community. Given the wide range of applications for which XQuery is applicable, a wide spectrum of alternative techniques has been proposed for XQuery processing. Some of these techniques are only useful for certain applications, other techniques are general-purpose.",http://iswc2004.semanticweb.org/CFParticipation/T1.html,,,http://iswc2004.semanticweb.org/CFParticipation/T1.html,EOL
[ME]/tutorial-2,[ME]/track/tutorial,,TutorialEvent,"T2: Ontology Design Patterns and Problems: Practical Ontology Engineering using Protege-OWL",20041107T083000,20041107T123000,Asia/Tokyo,"Room 10",,Organizer,"Alan Rector, Guus Schreiber, Natalya F. Noy, Holger Knublauch, Mark A. Musen",,,,"The Task Force on Ontology Engineering and Patterns of the W3C working group on Semantic Web Best Practices and Deployment will have completed most of its work by the time of the conference. The Task Force has already produced a series of first working draft notes on common ontology design patterns. These patterns analogous to the programming design patterns used by software engineers are directly influencing the development of the Protégé-OWL ontology development environment and its extensions by the CO-ODE project. This tutorial will introduce attendees to the concept of ontology patterns and discuss key patterns developed by the Task Force and others. Example patterns include quantities and units, value partitions, n-nary relations, problems of distinguishing classes and individuals, the choice between representing relationships as classes or properties, and qualified cardinality restrictions. (The final choice of issues will be driven by the results of the Task Force.) The tutorial will provide practical hands-on experience with the patterns using the Protégé-OWL tools and CO-ODE extensions. The style of the tutorial will be lecture demonstration. The software and examples will be made available in advance and attendees will be encouraged to gain hands on experience and explore the trade-offs between alternative patterns by working through the examples on their laptops. (See http://protege.stanford.edu and http://www.co-ode.org) The quality, availability and breadth of coverage of ontologies will be a major factor in determining the success of the Semantic Web. Patterns and tools to make it easier to develop high quality ontologies is therefore crucial to the Semantic Web Development. However, the idea of ontology patterns is relatively new. Many controversies remain. Ample time will be provided for feedback, questions and discussion. Three of the proposers are members of the Task Force, and one of them, Guus Schreiber, chairs the W3C Working Group.",http://iswc2004.semanticweb.org/CFParticipation/T2.html,,,http://iswc2004.semanticweb.org/CFParticipation/T2.html,EOL
[ME]/tutorial-3,[ME]/track/tutorial,,TutorialEvent,"T3: Tools and Technologies for Semantic Web Services",20041107T083000,20041107T123000,Asia/Tokyo,"Room 4",,Organizer,"Christoph Bussler, Katia Sycara, Sinuhe Arroyo, Liliana Cabral, John Domingue, Matthew Moran, Michael Stollberg, Michael Zaremba",,,,"Web Services combined with Semantic Web are being considered as the Next Big Wave of innovation in e-commerce and B2B integration. Web Services are also offered across Grid Computing in support of e-science. Recent industrial interest in Web Services, Semantic Web and the availability of tools and standards to enable automated invocation of business functionality through message exchange (e.g. SOAP, UDDI, WSDL, BEPL etc) holds the promise of fast progress in this area. An increasing number of Web Services using basic semantics are starting to appear. Today, services (e.g. travel services, book selling services, stock reporting services etc) are discovered and invoked manually by human users. In the near future, such service discovery and use will be mediated by computational entities, thus making the Web and Web Services computer understandable. Instead of being populated with human-readable documents, the Web will be populated with computer-mediated services. This tutorial will take an in-depth look at the current state of the art in the Semantic Web and Web Services and sort through the increasing and confusing array of relevant tools, languages and theories both from academia and industry. The tutorial will also present and discuss semantics for Web Services and their potential for business value added. Many examples to illustrate the described concepts, techniques, tools and their use will be presented. The tutorial brings together material and tools from the Semantic Web and Web Service standards technologies. In addition, the tutorial will present different approaches for enhancing Web Services with semantics. More importantly, the tutorial will discuss limitations of current technologies and present value added advanced concepts, such as distributed service composition, Semantic Web enabled Web Services, agent-mediated Web Services, as well as open issues that must be addressed. Alternative approaches will be presented and compared and a substantial list of references will be provided. The tutorial is self contained and accessible to practitioners, researchers and students. In particular this tutorial will focus on presenting semantics for Web Services with illustrations from two approaches, OWL-S and WSMO, that will be presented concurrently in order to emphasize their commonalities and differences. OWL-S (http://www.daml.org/services/owl-s/) is an effort supported by DARPA and is part of the DAML program. WSMO (http://www.wsmo.org) is an effort supported by European national and international projects.",http://iswc2004.semanticweb.org/CFParticipation/T3.html,,,http://iswc2004.semanticweb.org/CFParticipation/T3.html,EOL
[ME]/tutorial-4,[ME]/track/tutorial,,TutorialEvent,"T4: RDF and Topic Maps Interoperability in Practice",20041107T140000,20041107T180000,Asia/Tokyo,"Room 8",,Organizer,"Steve Pepper, Lars Marius Garshol",,,,,http://www.ontopia.net/ontopia/events/iswc-2004-tutorial.html,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
[ME]/tutorial-5,[ME]/track/tutorial,,TutorialEvent,"T5: Theory and Practice of RDF Query Processing",20041107T140000,20041107T180000,Asia/Tokyo,"Room 10",,Organizer,"Heiner Stuckenschmidt, Ad Aerts, Richard Vdovjak, Geert-Jan Houben, Jeen Broekstra",,,,,http://www.cs.vu.nl/~heiner/ISWC04Tutorial.html,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
[ME]/tutorial-6,[ME]/track/tutorial,,TutorialEvent,"T6: Semantic Web Rules with Ontologies, and their E-Business Applications",20041107T140000,20041107T180000,Asia/Tokyo,"Room 4",,Organizer,"Benjamin Grosof, Mike Dean",,,,,http://www.daml.org/2004/11/tutorial/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W1: Semantic Web technology for mobile and ubiquitous applications",20041107T090000,20041107T180000,Asia/Tokyo,"Room 5",,Chair,"Monique Calisti, Chiara Ghidini, Kaoru Hiramatsu, Terry Payne, Valentina Tamma",,,,,http://www.csc.liv.ac.uk/~valli/ISWC-SWUbiquitous/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W2: Trust, Security, and Reputation on the Semantic Web",20041107T090000,20041107T180000,Asia/Tokyo,"Room 7",,Chair,"Piero Bonatti, Jennifer Golbeck, Wolfgang Nejdl, Marianne Winslett",,,,,http://trust.mindswap.org/trustWorkshop/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,,,,,,,,,,,,,,,,,,
,,,SpecialEvent,Registration,20041108T080000,20041108T170000,Asia/Tokyo,,,,,,,,,,,,,
,,,BreakEvent,"Coffee Break",20041108T103000,20041108T113000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,,
,,,BreakEvent,Lunch,20041108T120000,20041108T140000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,,
,,,BreakEvent,"Tea Break",20041108T150000,20041108T160000,Asia/Tokyo,"Top of Hiroshima, Level 23",,,,,,,,,,,,
,,,WorkshopEvent,"W3: SW-EL'04: Applications of Semantic Web Technologies for E-Learning",20041108T090000,20041108T180000,Asia/Tokyo,"Room 10",,Chair,"Lora Aroyo, Darina Dicheva, Riichiro Mizoguchi, Yukihiro Itoh",,,,,http://wwwis.win.tue.nl/SW-EL04/swel-iswc.html,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W4: Evaluation of Ontology-based Tools (EON2004)",20041108T090000,20041108T180000,Asia/Tokyo,"Room 7",,Chair,"York Sure, Oscar Corcho, Jérôme Euzenat, Todd Hughes",,,,,http://km.aifb.uni-karlsruhe.de/ws/eon2004/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W5: Rules and Rule Markup Languages for the Semantic Web",20041108T090000,20041108T180000,Asia/Tokyo,"Room 5",,Chair,"Grigoris Antoniou,Harold Boley",,,,,http://2004.ruleml.org/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W6: Semantic Web Services: Preparing to Meet the World of Business Applications",20041108T090000,20041108T180000,Asia/Tokyo,"Room 4",,Chair,"David Martin, Takahira Yamaguchi, Rubén Lara Hernández",,,,,http://www.ai.sri.com/SWS2004/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
,,,WorkshopEvent,"W7: Meaning coordination and negotiation",20041108T090000,20041108T180000,Asia/Tokyo,"Room 8",,Chair,"Paolo Bouquet, Luciano Serafini",,,,,http://dit.unitn.it/~bouquet/ISWC-04-MCN/,,,http://iswc2004.semanticweb.org/program/final_program.pdf,EOL
