altLabel,title,subtitle,uri,source,status,redirects,disambiguates,matched_entity_type,row_type,modified
CNAM-Paris,CNAM,,http://dbpedia.org/resource/Conservatoire_National_des_Arts_et_M%C3%A9tiers,,man-short,,,,,2013/08/01
"Conservatoire National des Arts et Métiers",CNAM,,http://dbpedia.org/resource/Conservatoire_National_des_Arts_et_M%C3%A9tiers,,man-short,,,,,2013/08/01
CNR,CNR,,http://en.wikipedia.org/wiki/Consiglio_Nazionale_delle_Ricerche,,man,,,,,2013/08/01
CNRS,CNRS,,http://dbpedia.org/resource/French_National_Centre_for_Scientific_Research,,ok,,,,,2013/09/09
CognIT,CognIT,,,,ok,,,,,2013/08/01
"Collibra NV","Collibra NV",,,,man,,,,,2013/09/04
Computas,Computas,,,,man,,,TRUE,,2013/09/03
"Computer Research Institute of Montreal","Computer Research Institute of Montreal",,,,man,,,TRUE,,2013/09/09
"Concordia University","Concordia University",,http://dbpedia.org/resource/Concordia_University,,ok,,,TRUE,,2013/08/01
ConfMan,ConfMan,,,,ok,,,,,2013/08/01
"Connected Discovery","Connected Discovery",,,,man,,,,,2013/09/09
Connotate,Connotate,,,,ok,,,,,2013/08/01
Consultant,Consultant,,,,ok,,,,,2013/08/01
CONVERA,"Convera Corporation",,http://dbpedia.org/resource/Convera_Corporation,,ok,,,,,2013/08/01
"Coolheads Consulting","Coolheads Consulting",,,,man,,,,,2013/08/01
"Coolheads consulting","Coolheads Consulting",,,,ok,,,,,2013/08/01
Create-Net,Create-Net,,,,man,,,,,2013/09/03
CREATE-NET,Create-Net,,,,ok,,,,,2013/08/01
CRIM,CRIM,,,,man,,,,,2013/09/03
"Commonwealth Scientific and Industrial Research Organisation","CSIRO Australia",,http://dbpedia.org/resource/Commonwealth_Scientific_and_Industrial_Research_Organisation,,man-short,,,TRUE,,2013/09/04
CSIRO,"CSIRO Australia",,http://dbpedia.org/resource/Commonwealth_Scientific_and_Industrial_Research_Organisation,,man-short,,,TRUE,,2013/08/01
"CSIRO, Australia","CSIRO Australia",,http://dbpedia.org/resource/Commonwealth_Scientific_and_Industrial_Research_Organisation,,man-short,,,TRUE,,2013/09/04
"CSIRO ICT Centre","CSIRO Australia",,,,ok,,,,,2013/08/01
"Centrum Wiskunde & Informatica (CWI)","CWI Amsterdam",,http://dbpedia.org/resource/Centrum_Wiskunde_&_Informatica,,man-short,,,TRUE,,2013/09/03
"CWI, Amsterdam","CWI Amsterdam",,http://dbpedia.org/resource/Centrum_Wiskunde_&_Informatica,,man-short,,,,,2013/08/01
"CWI/VU University Amsterdam","CWI Amsterdam",,http://dbpedia.org/resource/Centrum_Wiskunde_&_Informatica,,man-short,,,,,2013/08/01
"Centre for Mathematics and Computer Sciences (CWI)","CWI Amsterdam",,http://dbpedia.org/resource/Centrum_Wiskunde_&_Informatica,,ok,,,TRUE,,2013/09/04
"Czech Technical University in Prague","Czech Technical University in Prague",,http://dbpedia.org/resource/Czech_Technical_University_in_Prague,,ok,,,TRUE,,2013/08/01
DaimlerChrysler,"Daimler AG",,http://dbpedia.org/resource/Daimler_AG,,man,,,,,2013/08/01
DAML,DAML,"DARPA Agent Markup Language Program",http://dbpedia.org/resource/DARPA_Agent_Markup_Language,,man-short,,,,,2013/08/01
"DAML: DARPA Agent Markup Language Program",DAML,"DARPA Agent Markup Language Program",http://dbpedia.org/resource/DARPA_Agent_Markup_Language,,man-short,,,,,2013/08/01
DARPA,DARPA,,http://dbpedia.org/resource/DARPA,,ok,,,,,2013/08/01
DARPA/IXO,DARPA/IXO,,,,ok,,,,,2013/08/01
"Data Archiving and Networked Services (DANS)","Data Archiving and Networked Services (DANS)",,,,man,,,,,2013/09/04
"Data.gov, U.S. General Services Administration","Data.gov, U.S. General Services Administration",,,,man,,,,,2013/09/03
DataPop,"DataPop, Inc.",,,,ok,,,,,2013/08/01
"Delft University of Technology","Delft University of Technology",,http://dbpedia.org/resource/Delft_University_of_Technology,,ok,,,TRUE,,2013/09/03
"TU Delft","Delft University of Technology",,http://dbpedia.org/resource/Delft_University_of_Technology,,ok,,,TRUE,,2013/08/01
"DERI National University of Ireland, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man,,,TRUE,,2013/09/04
"Digital Enterprise Research Institute","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man,,,TRUE,,2013/09/09
"Digital Enterprise Research Institute (DERI), National University of Ireland, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man,,,TRUE,,2013/09/04
"Digital Enterprise Research Institute, National University of Ireland, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man,,,TRUE,,2013/09/09
"Digital Enterprise Research Institute, NUIG","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man,,,TRUE,,2013/09/09
"DERI Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,TRUE,,2013/08/01
"DERI, NUI Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,TRUE,,2013/09/03
"DERI/NUI Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,TRUE,,2013/08/01
"Digital Enterprise Research Institute, Ireland","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,TRUE,,2013/09/04
DERI,"DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
"DERI, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
"DERI - National University of Ireland, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
DERI/NUIG,"DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
"Digital Enterprise Research Institute, Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
"Digital Enterprise Research Institute, National University of Ireland Galway","DERI, Galway",,http://dbpedia.org/resource/Digital_Enterprise_Research_Institute,,man-short,,,,,2013/08/01
"DERI, National University of Ireland","DERI, Galway",,,,man-short,,,TRUE,,2013/08/01
"DERI/NUI,, Galway","DERI, Galway",,,,man-short,,,TRUE,,2013/08/01
Derivo,"Derivo GmbH",,,,man,,,,,2013/09/03
"derivo GmbH","Derivo GmbH",,,,man,,,,,2013/08/01
DIP,DIP,,,,ok,,,,,2013/08/01
"DISI – Universita ́ degli Studi di Trento","DISI – Universita ́ degli Studi di Trento",,http://live.dbpedia.org/resource/Heidelberg_Institute_for_Theoretical_Studies,,man,,,,,2013/09/09
"TU Dresden","Dresden University of Technology",,http://dbpedia.org/resource/Dresden_University_of_Technology,,ok,,,TRUE,,2013/08/01
DSTC,DSTC,,http://dbpedia.org/resource/Distributed_Systems_Technology_Centre,,man,,,,,2013/08/01
"Dublin City University","Dublin City University",,http://dbpedia.org/resource/Dublin_City_University,,ok,,,,,2013/08/01
"Duke University","Duke University",,http://dbpedia.org/resource/Duke_University,,ok,,,TRUE,,2013/09/09
eBay,eBay,,http://dbpedia.org/resource/EBay,,ok,,,TRUE,,2013/08/01
"Ecole Centrale Paris","École Centrale Paris",,http://dbpedia.org/resource/%C3%89cole_centrale_Paris,,ok,,,TRUE,,2013/08/01
"École des Mines de Saint-Étienne","École Nationale Supérieure des Mines de Saint-Étienne",,http://dbpedia.org/resource/%C3%89cole_Nationale_Sup%C3%A9rieure_des_Mines_de_Saint-%C3%89tienne,,ok,,,TRUE,,2013/08/01
"Eindhoven University of Technology","Eindhoven University of Technology",,http://dbpedia.org/resource/Eindhoven_University_of_Technology,,ok,,,,,2013/08/01
"Electricité De France R&D","Électricité de France",,http://dbpedia.org/resource/Électricité_de_France,,man,,,,,2013/09/09
Elsevier,Elsevier,,http://dbpedia.org/resource/Elsevier,,ok,,,,,2013/08/01
"Embry Riddle Aeronautical University","Embry–Riddle Aeronautical University",,http://dbpedia.org/resource/Embry%E2%80%93Riddle_Aeronautical_University,,ok,,,TRUE,,2013/09/05
"EMC Corporation","EMC Corporation",,http://dbpedia.org/resource/EMC_Corporation,,ok,,,TRUE,,2013/09/03
"EMC R&D Brazil","EMC R&D Brazil",,,,man,,,TRUE,,2013/09/03
Empolis,"Empolis GmbH",,http://dbpedia.org/resource/Empolis,,ok,,,,,2013/08/01
"Enidata SpA","Enidata SpA",,,,ok,,,,,2013/08/01
ENIGMATEC,Enigmatec,,,,man,,,,,2013/08/01
Enigmatec,Enigmatec,,,,man,,,,,2013/08/01
Enigmatect,Enigmatec,,,,man,,,,,2013/08/01
"ENTERPRISE IRELAND","Enterprise Ireland",,http://dbpedia.org/resource/Enterprise_Ireland,,ok,,,,,2013/08/01
"Ecole Polytechnique Federale de Lausanne",EPFL,,http://dbpedia.org/resource/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,man-short,,,TRUE,,2013/09/04
EPFL,EPFL,,http://dbpedia.org/resource/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,man-short,,,,,2013/08/01
"École Polytechnique Federale de Lausanne",EPFL,,http://dbpedia.org/resource/%C3%89cole_Polytechnique_F%C3%A9d%C3%A9rale_de_Lausanne,,ok,,,,,2013/08/01
Epigraph,Epigraph,,,,man,,,,,2013/08/01
Epimorphics,"Epimorphics Ltd",,,,man,,,,,2013/09/03
Esperonto,Esperonto,,,,ok,,,,,2013/08/01
"Essential Logic","Essential Logic",,,,man,,,,,2013/09/05
EU/IST,EU/IST,,,,ok,,,,,2013/08/01
EURECOM,EURECOM,,http://dbpedia.org/resource/Institut_Eur%C3%A9com,,ok,,,TRUE,,2013/08/01
Europeana,Europeana,,http://dbpedia.org/resource/Europeana,,man,,,TRUE,,2013/09/04
"European Commission","European Commission",,http://dbpedia.org/resource/European_Commission,,ok,,,,,2013/08/01
"EXALEAD, Dassault Systèmes","EXALEAD, Dassault Systèmes",,,,man,,,TRUE,,2013/09/03
Exeura,Exeura,,,,ok,,,,,2013/08/01
"FAO, Roma","FAO, Roma",,http://en.wikipedia.org/wiki/Food_and_Agriculture_Organization,,man,,,,,2013/08/01
FBK,FBK,,,,ok,,,,,2013/09/04
"Fetch Technologies","Fetch Technologies",,,,man,,,TRUE,,2013/09/05
"University of Applied Sciences St. Gallen","FHS St. Gallen University of Applied Sciences",,,http://de.wikipedia.org/wiki/FHS_St._Gallen_Hochschule_f%C3%BCr_Angewandte_Wissenschaften,man,,,TRUE,,2013/09/05
"Florida Insitute for Human and Machine Cognition","Florida Institute for Human and Machine Cognition",,http://dbpedia.org/resource/Florida_Institute_for_Human_and_Machine_Cognition,,man,,,,,2013/08/01
"Florida Institute for Human and Machine Cognition","Florida Institute for Human and Machine Cognition",,http://dbpedia.org/resource/Florida_Institute_for_Human_and_Machine_Cognition,,man,,,,,2013/08/01
IHMC,"Florida Institute for Human and Machine Cognition",,http://dbpedia.org/resource/Florida_Institute_for_Human_and_Machine_Cognition,,man,,,,,2013/09/04
"Institute for Human and Machine Cognition","Florida Institute for Human and Machine Cognition",,http://dbpedia.org/resource/Florida_Institute_for_Human_and_Machine_Cognition,,man,,,,,2013/08/01
"fluid Operations","Fluid Operations",,,,ok,,,,,2013/08/01
"fluid operations","Fluid Operations",,,,ok,,,,,2013/09/03
"Fluid Operations","Fluid Operations",,,,ok,,,,,2013/09/04
"fluid Operations AG","Fluid Operations",,,,ok,,,,,2013/08/01
"Fluminense Federal University","Fluminense Federal University",,http://dbpedia.org/resource/Fluminense_Federal_University,,ok,,,TRUE,,2013/09/04
"FOAF project","FOAF project",,,,man,,,,,2013/09/03
"Fondazione Bruno Kessler","Fondazione Bruno Kessler",,,,ok,,,,,2013/08/01
FORTH-ICS,FORTH-ICS,,,,man,,,,,2013/09/03
ICS-FORTH,FORTH-ICS,,,,man,,,,,2013/08/01
"ICS-FORTH & University of Crete",FORTH-ICS,,,,man,,,,,2013/08/01
"CS-FORTH Crete",FORTH-ICS,,,,ok,,,,,2013/08/01
FORTH,FORTH-ICS,,,,ok,,,,,2013/08/01
"ICS FORTH",FORTH-ICS,,,,ok,,,,,2013/08/01
"ICS-FORTH and University of Crete",FORTH-ICS,,,,ok,,,,,2013/08/01
"Institute of Computer Science",FORTH-ICS,,,,ok,,,,,2013/08/01
"forward look","Forward Look",,,,man,,,,,2013/09/03
"France Telecom","France Télécom",,http://dbpedia.org/resource/France_T%C3%A9l%C3%A9com,,ok,,,,,2013/08/01
"France Télécom","France Télécom",,http://dbpedia.org/resource/France_T%C3%A9l%C3%A9com,,ok,,,,,2013/08/01
"France Telecom R&D","France Télécom",,http://dbpedia.org/resource/France_T%C3%A9l%C3%A9com,,ok,,,,,2013/08/01
"France telecom R&D","France Télécom",,http://dbpedia.org/resource/France_T%C3%A9l%C3%A9com,,ok,,,,,2013/08/01
"Olin College","Franklin W. Olin College of Engineering",,http://dbpedia.org/resource/Franklin_W._Olin_College_of_Engineering,,ok,,,,,2013/08/01
"Olin College of Engineering","Franklin W. Olin College of Engineering",,http://dbpedia.org/resource/Franklin_W._Olin_College_of_Engineering,,ok,,,,,2013/08/01
Franz,"Franz, Inc.",,,,man,,,,,2013/09/03
Fraunhofer,"Fraunhofer Institute",,,,ok,,,TRUE,,2013/09/03
"Fraunhofer Institute","Fraunhofer Institute",,,,ok,,,,,2013/08/01
"Freelance Technologist","Freelance Technologist",,,,ok,,,,,2013/08/01
"Free University of Berlin","Free University of Berlin",,http://dbpedia.org/resource/Free_University_of_Berlin,,ok,,,TRUE,,2013/09/03
"Freie Universitaet Berlin","Free University of Berlin",,http://dbpedia.org/resource/Free_University_of_Berlin,,ok,,,TRUE,,2013/08/01
"Freie Universität Berlin","Free University of Berlin",,http://dbpedia.org/resource/Free_University_of_Berlin,,ok,,,,,2013/08/01
"KRDB, Free University of Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,man,,,,,2013/09/09
"KRDB Research Centre, Free University of Bozen-Bolzano","Free University of Bozen-Bolzano",,http://dbpedia.org/resource/Free_University_of_Bozen-Bolzano,,man,,,,,2013/09/09
